A,B
Q0045,YDR231C
Q0045,Q0140
Q0045,YGR112W
Q0045,YIL157C
Q0045,Q0065
Q0045,YEL039C
Q0045,YGL226W
Q0045,YML129C
Q0045,YML030W
Q0045,Q0060
Q0045,YJR048W
Q0045,YLR203C
Q0045,Q0070
Q0045,YPL132W
Q0045,YKL192C
Q0045,YJL062WA
Q0045,YPL172C
Q0050,YPR140W
Q0050,YAL024C
Q0060,YEL039C
Q0060,YDR529C
Q0060,YOR065W
Q0060,YJR048W
Q0060,YGL191W
Q0060,YBL045C
Q0060,YPL132W
Q0060,Q0105
Q0060,Q0070
Q0060,YDR119WA
Q0060,YNL052W
Q0060,Q0045
Q0060,YIL111W
Q0060,YMR256C
Q0060,YDL067C
Q0060,YPR191W
Q0060,YLR395C
Q0060,YGL226W
Q0060,Q0065
Q0060,YHR001WA
Q0065,YHR001WA
Q0065,YDR119WA
Q0065,Q0070
Q0065,Q0105
Q0065,YPL132W
Q0065,YBL045C
Q0065,YJR048W
Q0065,YOR065W
Q0065,YDR529C
Q0065,Q0060
Q0065,YJR045C
Q0065,YGL191W
Q0065,YPR191W
Q0065,YDL067C
Q0065,YMR256C
Q0065,YEL039C
Q0065,YGL226W
Q0065,YLR395C
Q0065,Q0045
Q0065,YNL052W
Q0065,YIL111W
Q0070,YDL067C
Q0070,Q0060
Q0070,YGL191W
Q0070,YJR048W
Q0070,YOR065W
Q0070,YDR529C
Q0070,YDR119WA
Q0070,Q0105
Q0070,YPL132W
Q0070,YBL045C
Q0070,YIL111W
Q0070,YMR256C
Q0070,Q0045
Q0070,YNL052W
Q0070,YEL039C
Q0070,YHR001WA
Q0070,Q0065
Q0070,YGL226W
Q0070,YLR395C
Q0070,YPR191W
Q0080,YOR020WA
Q0080,YMR267W
Q0080,YLR393W
Q0080,YBR011C
Q0080,YLR203C
Q0085,YOR020WA
Q0085,YJR090C
Q0085,YMR267W
Q0085,YGR062C
Q0085,YLR393W
Q0085,YBR011C
Q0085,YLR203C
Q0085,Q0275
Q0105,YDR231C
Q0105,YHR024C
Q0105,YGR174C
Q0105,YGL226W
Q0105,Q0065
Q0105,YML030W
Q0105,Q0060
Q0105,YPL215W
Q0105,YIR024C
Q0105,YDR197W
Q0105,YKL192C
Q0105,Q0070
Q0105,YLR203C
Q0110,YEL039C
Q0110,YJR048W
Q0110,YBL045C
Q0110,YKL192C
Q0110,YLR038C
Q0110,YHR051W
Q0110,YGL187C
Q0110,Q0275
Q0110,Q0250
Q0110,YPR191W
Q0115,YKL192C
Q0115,YBL045C
Q0115,Q0250
Q0115,YEL039C
Q0115,Q0275
Q0115,YJR048W
Q0115,YPR191W
Q0115,YGL187C
Q0115,YHR051W
Q0115,YLR038C
Q0120,Q0275
Q0120,YEL039C
Q0120,YLR382C
Q0120,YLR038C
Q0120,YGL187C
Q0120,YHR024C
Q0120,YHR051W
Q0120,Q0250
Q0120,YKL192C
Q0120,YJR048W
Q0130,YKR065C
Q0130,YIR024C
Q0130,YJR090C
Q0130,YOR232W
Q0130,YLR008C
Q0130,YHR051W
Q0130,YGR033C
Q0130,YJL143W
Q0130,YIL022W
Q0130,YPL063W
Q0130,YMR267W
Q0130,YER154W
Q0130,YLR393W
Q0130,YNR017W
Q0130,YLR203C
Q0130,YJL104W
Q0130,YBR011C
Q0130,YOR020WA
Q0140,Q0045
Q0160,YLR378C
Q0250,Q0120
Q0250,YGR132C
Q0250,YMR244CA
Q0250,YER154W
Q0250,YGR062C
Q0250,YIL051C
Q0250,YML030W
Q0250,YBL030C
Q0250,YBR185C
Q0250,YLR203C
Q0250,YML129C
Q0250,YGR112W
Q0250,Q0110
Q0250,YNR017W
Q0250,Q0115
Q0250,YDL137W
Q0275,Q0110
Q0275,YDR231C
Q0275,Q0115
Q0275,Q0120
Q0275,Q0085
Q0275,YJR048W
Q0275,YGL226W
Q0275,YLR203C
Q0275,YEL039C
Q0275,YGR222W
Q0275,YER154W
Q0275,YML030W
Q0275,YML129C
YAL001C,YPR110C
YAL001C,YOR207C
YAL001C,YNL151C
YAL001C,YOR116C
YAL001C,YKR025W
YAL001C,YNR003C
YAL001C,YPR187W
YAL001C,YDL150W
YAL001C,YLL013C
YAL001C,YGL254W
YAL001C,YOR210W
YAL001C,YOR224C
YAL001C,YNL113W
YAL001C,YKL144C
YAL001C,YBR154C
YAL001C,YJL011C
YAL001C,YDR045C
YAL001C,YHR143WA
YAL001C,YPR190C
YAL002W,YDR080W
YAL002W,YKL203C
YAL002W,YNL093W
YAL002W,YML001W
YAL002W,YGL212W
YAL003W,YGR094W
YAL003W,YDR025W
YAL003W,YLL045C
YAL003W,YGL189C
YAL003W,YDR172W
YAL003W,YKR057W
YAL003W,YOR167C
YAL003W,YLR048W
YAL003W,YFR004W
YAL003W,YHL001W
YAL003W,YPL143W
YAL003W,YBR189W
YAL003W,YGL076C
YAL003W,YPL198W
YAL003W,YKL101W
YAL003W,YCR031C
YAL003W,YDL075W
YAL003W,YNL002C
YAL003W,YNL301C
YAL003W,YIL069C
YAL003W,YDL136W
YAL003W,YNL096C
YAL003W,YIL018W
YAL003W,YLR448W
YAL003W,YFL034CA
YAL003W,YGR085C
YAL003W,YFR031CA
YAL003W,YOR234C
YAL003W,YKL006W
YAL003W,YDL130W
YAL003W,YPR132W
YAL003W,YNL081C
YAL003W,YLR061W
YAL003W,YBL072C
YAL003W,YLR441C
YAL003W,YOR096W
YAL003W,YBR048W
YAL003W,YNL302C
YAL003W,YDR418W
YAL003W,YER074W
YAL003W,YDL082W
YAL003W,YML073C
YAL003W,YBR084CA
YAL003W,YMR121C
YAL003W,YDL191W
YAL003W,YDR447C
YAL003W,YMR142C
YAL003W,YJL136C
