A,B
YAL025C,YKL006W
YAL025C,YBR084CA
YAL025C,YLR061W
YAL025C,YGL147C
YAL025C,YML073C
YAL025C,YOL120C
YAL025C,YPL249CA
YAL025C,YDL213C
YAL025C,YBL092W
YAL025C,YBR191W
YAL025C,YDL082W
YAL025C,YDR083W
YAL025C,YHR010W
YAL026C,YGR229C
YAL026C,YJL204C
YAL026C,YEL022W
YAL029C,YGL210W
YAL029C,YOR035C
YAL029C,YHR023W
YAL029C,YER031C
YAL029C,YFL005W
YAL029C,YFL039C
YAL030W,YOR036W
YAL030W,YGL212W
YAL030W,YFL005W
YAL030W,YCR030C
YAL030W,YGR241C
YAL030W,YBR080C
YAL030W,YAL014C
YAL030W,YHR161C
YAL030W,YGL095C
YAL030W,YDR164C
YAL032C,YOL090W
YAL032C,YDR243C
YAL032C,YGR006W
YAL032C,YLR323C
YAL032C,YDL030W
YAL032C,YBR119W
YAL032C,YJL203W
YAL033W,YLR175W
YAL033W,YER112W
YAL033W,YNL147W
YAL033W,YLR438CA
YAL033W,YBL026W
YAL033W,YHR072WA
YAL033W,YDL208W
YAL033W,YDR378C
YAL033W,YHR089C
YAL033W,YER146W
YAL033W,YHR034C
YAL034C,YBR198C
YAL034WA,YBR211C
YAL034WA,YPL018W
YAL035W,YLL045C
YAL035W,YPL079W
YAL035W,YDR083W
YAL035W,YDL213C
YAL035W,YPL249CA
YAL035W,YDL184C
YAL035W,YDR012W
YAL035W,YLR406C
YAL035W,YPL220W
YAL035W,YMR121C
YAL035W,YMR188C
YAL035W,YLR340W
YAL035W,YNL069C
YAL035W,YIL052C
YAL035W,YMR142C
YAL035W,YJR113C
YAL035W,YDR429C
YAL035W,YIL148W
YAL035W,YGR034W
YAL035W,YGR148C
YAL035W,YMR158W
YAL035W,YOR234C
YAL035W,YKL006W
YAL035W,YLR448W
YAL035W,YFL034CA
YAL035W,YKR094C
YAL035W,YLR175W
YAL035W,YKR063C
YAL035W,YFR032CA
YAL035W,YBR079C
YAL035W,YJL122W
YAL035W,YDL133CA
YAL036C,YDR152W
YAL040C,YNL197C
YAL040C,YPL031C
YAL041W,YNL098C
YAL041W,YNL298W
YAL041W,YOR094W
YAL041W,YER114C
YAL041W,YOR212W
YAL041W,YOR101W
YAL041W,YDR379W
YAL042W,YML130C
YAL043C,YOR250C
YAL043C,YOL123W
YAL043C,YGR047C
YAL043C,YJL033W
YAL043C,YDR228C
YAL043C,YBR119W
YAL043C,YBL076C
YAL044C,YLR239C
YAL044C,YMR189W
YAL044C,YFL018C
YAL044WA,YER174C
YAL044WA,YDR098C
YAL046C,YER174C
YAL047C,YNL225C
YAL047C,YOR233W
YAL047C,YNL188W
YAL047C,YHR172W
YAL047C,YLR045C
YAL047C,YLR212C
YAL047C,YNL126W
YAL048C,YBR179C
YAL048C,YNL070W
YAL048C,YDL126C
YAL048C,YKL079W
YAL048C,YMR203W
YAL048C,YDR049W
YAL048C,YAL010C
YAL048C,YLL006W
YAL048C,YOR045W
YAL048C,YNL121C
YAL048C,YGR082W
YAL048C,YMR060C
YAL048C,YOL009C
YAL048C,YGL219C
YAL048C,YPR133WA
YAL048C,YNL131W
YAL048C,YDL135C
YAL048C,YBR170C
YAL048C,YHR083W
YAL048C,YNL026W
YAL058W,YDL126C
YAL058W,YJL034W
YAL058W,YOR336W
YAL058W,YDR518W
YAL059W,YKR063C
YAL059W,YDL213C
YAL059W,YDR083W
YAR002CA,YDR238C
YAR002CA,YAL007C
YAR002CA,YGR284C
YAR002CA,YIL004C
YAR002CA,YOR016C
YAR002CA,YGL002W
YAR002W,YPL169C
YAR002W,YDR381W
YAR002W,YDR159W
YAR002W,YKR082W
YAR003W,YMR176W
YAR003W,YBR258C
YAR003W,YDR320C
YAR003W,YGL004C
YAR003W,YJR119C
YAR003W,YCR060W
YAR003W,YCR084C
YAR007C,YMR201C
YAR007C,YDR217C
