A,B
YAL013W,YDL076C
YAL016W,YOR178C
YAL016W,YOR014W
YAL016W,YKL193C
YAL016W,YDL047W
YAL016W,YIL153W
YAL016W,YDL188C
YAL016W,YDR028C
YAL016W,YKL190W
YAL016W,YML057W
YAL016W,YDR075W
YAL016W,YGL190C
YAL016W,YNL201C
YAL016W,YER133W
YAL016W,YLR433C
YAL016W,YDL134C
YAL016W,YBL046W
YAL016W,YNL217W
YAL016W,YPL152W
YAL020C,YBL071WA
YAL021C,YNR052C
YAL021C,YDL165W
YAL021C,YCR093W
YAL021C,YKR036C
YAL021C,YNL288W
YAL021C,YGR134W
YAL021C,YER068W
YAL021C,YFL028C
YAL021C,YPR072W
YAL021C,YIL038C
YAL021C,YDR252W
YAL023C,YOR321W
YAL023C,YDR245W
YAL023C,YDL093W
YAL023C,YJR075W
YAL023C,YDL095W
YAL024C,YML064C
YAL025C,YHR170W
YAL025C,YOL041C
YAL025C,YDR087C
YAL025C,YER126C
YAL025C,YOR046C
YAL025C,YLR221C
YAL025C,YPL093W
YAL025C,YNL224C
YAL025C,YNL061W
YAL025C,YGR218W
YAL025C,YGL076C
YAL025C,YNR038W
YAL025C,YDL031W
YAL025C,YDR060W
YAL025C,YIR012W
YAL025C,YHR052W
YAL025C,YBR267W
YAL025C,YKL180W
YAL025C,YGL111W
YAL025C,YNL002C
YAL025C,YKL172W
YAL025C,YIL018W
YAL025C,YGL029W
YAL025C,YPL043W
YAL025C,YLL008W
YAL025C,YDL136W
YAL025C,YNL110C
YAL025C,YOR063W
YAL025C,YBL027W
YAL025C,YDR471W
YAL025C,YFR031CA
YAL025C,YDR101C
YAL025C,YPL169C
YAL025C,YER006W
YAL025C,YGL078C
YAL025C,YER056CA
YAL025C,YAL059W
YAL025C,YKR081C
YAL025C,YOL127W
YAL025C,YDL191W
YAL025C,YCL054W
YAL025C,YOR272W
YAL025C,YFR001W
YAL025C,YPL211W
YAL025C,YHR088W
YAL025C,YER002W
YAL025C,YBL028C
YAL025C,YKL009W
YAL025C,YOR294W
YAL025C,YLR397C
YAL025C,YGL103W
YAL025C,YLR009W
YAL025C,YDR500C
YAL025C,YNL227C
YAL025C,YER036C
YAL025C,YGL135W
YAL025C,YLR074C
YAL025C,YPL226W
YAL025C,YGR103W
YAL025C,YMR290C
YAL025C,YLL034C
YAL025C,YOL077C
YAL025C,YDR496C
YAL025C,YIR026C
YAL025C,YLR185W
YAL025C,YPR143W
YAL025C,YDR091C
YAL025C,YLR002C
YAL025C,YHR085W
YAL025C,YLR106C
YAL025C,YMR049C
YAL025C,YPR016C
YAL025C,YHR066W
YAL025C,YAL035W
YAL025C,YOR206W
YAL025C,YDR418W
YAL025C,YHL001W
YAL025C,YNR053C
YAL025C,YJL177W
YAL026C,YNL323W
YAL026C,YCR094W
YAL026C,YER166W
YAL029C,YKL130C
YAL029C,YBR130C
YAL029C,YBR109C
YAL029C,YGL106W
YAL029C,YOR326W
YAL030W,YLR026C
YAL030W,YOR327C
YAL030W,YGR009C
YAL030W,YBL050W
YAL030W,YGL098W
YAL030W,YMR183C
YAL030W,YLR093C
YAL030W,YMR197C
YAL030W,YLR268W
YAL030W,YKL196C
YAL030W,YDR468C
YAL030W,YKL006CA
YAL030W,YLR078C
YAL030W,YHL031C
YAL030W,YOR106W
YAL030W,YMR017W
YAL030W,YOR075W
YAL030W,YDR498C
YAL030W,YIL004C
YAL030W,YPL232W
YAL030W,YOL018C
YAL030W,YNR049C
YAL032C,YGL174W
YAL032C,YPL064C
YAL032C,YGR129W
YAL032C,YPL213W
YAL032C,YPR101W
YAL032C,YKL095W
YAL032C,YJR050W
YAL032C,YKR086W
YAL032C,YLR275W
YAL032C,YOR319W
YAL032C,YGL120C
YAL032C,YFL017WA
YAL032C,YDR088C
YAL032C,YML049C
YAL032C,YDR163W
YAL032C,YNR011C
YAL032C,YNL245C
YAL032C,YLR424W
YAL032C,YLR016C
YAL032C,YPL048W
YAL032C,YMR213W
YAL032C,YCR063W
YAL032C,YPR094W
YAL032C,YMR240C
YAL032C,YNL138WA
YAL032C,YER172C
