"orf_name_a" "gene_name_a" "orf_name_b" "gene_name_b" "n_publications" "n_methods" "n_evidence" "Zone" "GI_PCC" "CS_PCC" "GE_PCC"
"846" "YCL008C" "STP22" "YHL002W" "HSE1" 3 4 4 "C" 0.187 0.340979129356936 0.4329
"847" "YCL008C" "STP22" "YHR016C" "YSC84" 1 2 2 "C" -0.05149 0.0754166872221287 0.3668
"848" "YCL008C" "STP22" "YLR119W" "SRN2" 6 7 9 "A" 0.377 0.713715066103549 0.1817
"849" "YCL008C" "STP22" "YLR191W" "PEX13" 1 2 2 "B" 0.01588 0.193807647261505 0.2184
"850" "YCL008C" "STP22" "YMR032W" "HOF1" 1 2 2 "C" NA NA 0.0887
"851" "YCL008C" "STP22" "YNR006W" "VPS27" 6 6 8 "C" 0.24574 0.652532593718065 0.4586
"852" "YCL008C" "STP22" "YPL065W" "VPS28" 5 5 6 "A" 0.45069 0.954224687737308 0.2156
"853" "YCL008C" "STP22" "YPL084W" "BRO1" 1 2 2 "C" 0.25399 0.602426721191674 0.443
"854" "YCL011C" "GBP2" "YDR432W" "NPL3" 4 3 4 "C" NA NA 0.2728
"855" "YCL011C" "GBP2" "YKL139W" "CTK1" 3 3 3 "B" 0.043 NA 0.3297
"856" "YCL014W" "BUD3" "YJR092W" "BUD4" 5 3 5 "A" 0.15779 0.0889372475193055 NA
"857" "YCL014W" "BUD3" "YLR229C" "CDC42" 1 2 2 "B" 0.05392 NA 0.156
"858" "YCL014W" "BUD3" "YPR119W" "CLB2" 3 2 3 "C" 0.03514 0.185835352842398 0.4496
"859" "YCL017C" "NFS1" "YER048W-A" "ISD11" 8 7 13 "D" 0.03673 NA 0.2192
"860" "YCL024W" "KCC4" "YJR076C" "CDC11" 3 4 4 "C" 0.05697 NA 0.0648
"861" "YCL024W" "KCC4" "YKR048C" "NAP1" 4 4 4 "C" 0.05561 0.121228604597324 -0.0454
"862" "YCL024W" "KCC4" "YLR314C" "CDC3" 3 3 3 "C" 0.08456 NA NA
"863" "YCL024W" "KCC4" "YPL031C" "PHO85" 2 2 2 "C" NA NA -0.0752
"864" "YCL025C" "AGP1" "YCL025C" "AGP1" 2 2 2 "D" NA NA NA
"865" "YCL025C" "AGP1" "YOR328W" "PDR10" 1 2 2 "D" 0.0289 0.186034148952751 NA
"866" "YCL027W" "FUS1" "YDR103W" "STE5" 2 2 2 "C" NA NA 0.3509
"867" "YCL027W" "FUS1" "YER118C" "SHO1" 4 5 6 "C" 0.01839 0.0359464257730443 0.1485
"868" "YCL027W" "FUS1" "YER149C" "PEA2" 3 3 4 "C" 0.01898 -0.184959420702833 0.1254
"869" "YCL027W" "FUS1" "YIL159W" "BNR1" 4 3 4 "D" 0.01156 0.222454031407829 0.1072
"870" "YCL027W" "FUS1" "YKL105C" "SEG2" 2 2 2 "D" -0.02225 0.173224209842008 NA
"871" "YCL027W" "FUS1" "YKR101W" "SIR1" 2 2 2 "C" NA 0.13511141105296 NA
"872" "YCL027W" "FUS1" "YLR330W" "CHS5" 2 2 3 "C" 0.02494 0.0547435992255761 0.0728
"873" "YCL027W" "FUS1" "YNL271C" "BNI1" 2 1 2 "C" -0.01147 NA NA
"874" "YCL027W" "FUS1" "YPR008W" "HAA1" 2 3 3 "D" -0.01541 0.098319735665308 NA
"875" "YCL028W" "RNQ1" "YCL028W" "RNQ1" 9 6 13 "D" NA NA NA
"876" "YCL028W" "RNQ1" "YNL007C" "SIS1" 4 3 5 "D" NA NA -0.0087
"877" "YCL029C" "BIK1" "YCL029C" "BIK1" 1 2 2 "A" NA NA NA
"878" "YCL029C" "BIK1" "YDL064W" "UBC9" 1 2 2 "C" -0.06204 NA 0.1091
"879" "YCL029C" "BIK1" "YER016W" "BIM1" 5 4 7 "C" 0.14011 NA 0.241
"880" "YCL029C" "BIK1" "YJR066W" "TOR1" 2 2 3 "B" 0.06191 NA 0.1617
"881" "YCL029C" "BIK1" "YLR045C" "STU2" 5 3 6 "A" 0.24789 NA 0.3003
"882" "YCL029C" "BIK1" "YML085C" "TUB1" 2 1 2 "B" NA NA 0.1838
"883" "YCL029C" "BIK1" "YOR269W" "PAC1" 2 1 2 "C" 0.32319 NA 0.4101
"884" "YCL029C" "BIK1" "YPL124W" "SPC29" 2 1 2 "B" 0.10434 NA NA
"885" "YCL029C" "BIK1" "YPL155C" "KIP2" 5 3 5 "B" 0.26602 NA 0.4309
"886" "YCL029C" "BIK1" "YPL269W" "KAR9" 2 3 3 "C" 0.03376 NA NA
"887" "YCL031C" "RRP7" "YGR090W" "UTP22" 5 7 9 "A" NA NA 0.4752
"888" "YCL031C" "RRP7" "YIL035C" "CKA1" 3 3 3 "A" 0.05084 NA 0.4826
"889" "YCL031C" "RRP7" "YLR223C" "IFH1" 2 2 3 "A" NA NA 0.5579
"890" "YCL032W" "STE50" "YCL032W" "STE50" 3 2 4 "D" NA NA NA
"891" "YCL032W" "STE50" "YDR103W" "STE5" 2 1 2 "C" NA NA 0.1192
"892" "YCL032W" "STE50" "YDR309C" "GIC2" 3 2 3 "C" 0.03322 0.110786040304846 0.1205
"893" "YCL032W" "STE50" "YER118C" "SHO1" 3 4 4 "C" 0.10609 -0.0155722199416389 0.1776
"894" "YCL032W" "STE50" "YHR061C" "GIC1" 3 2 3 "C" 0.01261 0.248484077689802 NA
"895" "YCL032W" "STE50" "YLL024C" "SSA2" 2 2 2 "C" 0.01674 -0.0141084514308803 -0.0834
"896" "YCL032W" "STE50" "YLR362W" "STE11" 22 8 25 "C" NA NA 0.476
"897" "YCL032W" "STE50" "YMR117C" "SPC24" 2 1 2 "C" 0.02564 NA 0.2831
"898" "YCL032W" "STE50" "YNL161W" "CBK1" 2 1 2 "D" NA NA 0.4216
"899" "YCL032W" "STE50" "YOR212W" "STE4" 2 1 2 "C" NA NA 0.0787
"900" "YCL032W" "STE50" "YPR075C" "OPY2" 4 3 5 "C" 0.14091 0.331317016422027 0.2725
"901" "YCL034W" "LSB5" "YOR181W" "LAS17" 3 1 3 "C" 0.03286 NA 0.3595
"902" "YCL035C" "GRX1" "YKL188C" "PXA2" 1 2 2 "D" 0.00908 -0.158453604134761 0.282
"903" "YCL035C" "GRX1" "YPL147W" "PXA1" 1 2 2 "D" 0.00812 -0.228857558273441 0.2891
"904" "YCL037C" "SRO9" "YIL031W" "ULP2" 2 2 2 "C" NA NA NA
"905" "YCL043C" "PDI1" "YCL043C" "PDI1" 2 3 4 "D" NA NA NA
"906" "YCL043C" "PDI1" "YER125W" "RSP5" 2 2 2 "C" 0.06062 NA 0.4154
"907" "YCL043C" "PDI1" "YHR023W" "MYO1" 1 2 2 "C" NA NA 0.0899
"908" "YCL045C" "EMC1" "YPR133W-A" "TOM5" 1 2 2 "B" -0.05521 NA NA
"909" "YCL051W" "LRE1" "YFL034C-B" "MOB2" 1 2 2 "D" 0.00366 NA NA
"910" "YCL051W" "LRE1" "YFR028C" "CDC14" 1 2 2 "C" -0.05861 NA NA
"911" "YCL051W" "LRE1" "YNL161W" "CBK1" 4 3 5 "D" NA NA NA
"912" "YCL054W" "SPB1" "YCL054W" "SPB1" 1 2 2 "A" NA NA NA
"913" "YCL054W" "SPB1" "YDL031W" "DBP10" 1 2 2 "A" NA NA NA
"914" "YCL054W" "SPB1" "YDR060W" "MAK21" 1 2 2 "C" NA NA 0.7922
"915" "YCL054W" "SPB1" "YFR001W" "LOC1" 1 3 3 "C" NA NA 0.6441
"916" "YCL054W" "SPB1" "YHR088W" "RPF1" 1 2 2 "A" NA NA 0.723
"917" "YCL054W" "SPB1" "YJR041C" "URB2" 1 2 2 "B" NA NA 0.7477
"918" "YCL054W" "SPB1" "YKL082C" "RRP14" 1 2 2 "C" NA NA 0.7635
"919" "YCL054W" "SPB1" "YKL172W" "EBP2" 1 2 2 "A" NA NA 0.801
"920" "YCL054W" "SPB1" "YKR081C" "RPF2" 3 4 4 "A" NA NA 0.789
"921" "YCL054W" "SPB1" "YLR002C" "NOC3" 1 2 2 "A" NA NA 0.7496
"922" "YCL054W" "SPB1" "YLR449W" "FPR4" 1 2 2 "A" NA NA 0.5666
"923" "YCL054W" "SPB1" "YML074C" "FPR3" 1 2 2 "C" NA NA 0.2525
"924" "YCL054W" "SPB1" "YOL041C" "NOP12" 1 2 2 "C" NA NA 0.8164
"925" "YCL054W" "SPB1" "YOR206W" "NOC2" 3 3 4 "A" NA NA 0.7806
"926" "YCL054W" "SPB1" "YPL146C" "NOP53" 2 4 4 "C" NA NA 0.6803
"927" "YCL056C" "PEX34" "YCL056C" "PEX34" 2 2 2 "D" NA NA NA
"928" "YCL059C" "KRR1" "YCL059C" "KRR1" 2 2 2 "A" NA NA NA
"929" "YCL059C" "KRR1" "YDL014W" "NOP1" 3 3 3 "A" 0.03068 NA 0.7453
"930" "YCL059C" "KRR1" "YDL153C" "SAS10" 2 3 3 "C" 0.00402 NA 0.844
"931" "YCL059C" "KRR1" "YDR449C" "UTP6" 3 3 3 "A" 0.13884 NA 0.5761
"932" "YCL059C" "KRR1" "YEL055C" "POL5" 2 2 2 "A" 0.07058 NA 0.6559
"933" "YCL059C" "KRR1" "YGR081C" "SLX9" 3 2 3 "B" 0.05388 NA 0.5959
"934" "YCL059C" "KRR1" "YGR090W" "UTP22" 3 3 3 "A" NA NA 0.5563
"935" "YCL059C" "KRR1" "YIL019W" "FAF1" 4 5 7 "C" 0.01234 NA 0.7501
"936" "YCL059C" "KRR1" "YJL069C" "UTP18" 2 3 3 "A" 0.02058 NA 0.5132
"937" "YCL059C" "KRR1" "YLR336C" "SGD1" 2 2 2 "C" NA NA 0.5525
"938" "YCL059C" "KRR1" "YML093W" "UTP14" 3 2 3 "C" 0.24938 NA 0.6913
"939" "YCL059C" "KRR1" "YMR290C" "HAS1" 3 2 3 "B" 0.05273 NA 0.8389
"940" "YCL059C" "KRR1" "YNL224C" "SQS1" 2 3 3 "C" -0.05699 NA 0.0784
"941" "YCL059C" "KRR1" "YNL308C" "KRI1" 3 3 3 "B" 0.32739 NA 0.5325
"942" "YCL059C" "KRR1" "YNR054C" "ESF2" 2 2 2 "B" -0.02208 NA 0.7203
"943" "YCL059C" "KRR1" "YOR004W" "UTP23" 2 2 2 "C" 0.06411 NA 0.6839
"944" "YCL059C" "KRR1" "YOR287C" "RRP36" 3 3 3 "C" NA NA 0.5562
"945" "YCL061C" "MRC1" "YLR113W" "HOG1" 2 4 4 "B" 0.03655 0.00919310544761688 0.0224
"946" "YCL061C" "MRC1" "YNL262W" "POL2" 2 3 3 "B" 0.43921 NA 0.5012
"947" "YCL061C" "MRC1" "YOR080W" "DIA2" 2 4 5 "B" 0.27242 NA NA
"948" "YCL061C" "MRC1" "YPR175W" "DPB2" 3 3 3 "B" NA NA 0.55
"949" "YCL063W" "VAC17" "YEL013W" "VAC8" 3 3 4 "D" 0.12629 0.119127523218385 0.1595
"950" "YCL063W" "VAC17" "YFR021W" "ATG18" 2 2 3 "D" 0.02263 0.213618470407703 0.0666
"951" "YCL063W" "VAC17" "YOR326W" "MYO2" 8 4 9 "C" -0.07165 NA 0.2711
"952" "YCR002C" "CDC10" "YCR002C" "CDC10" 3 3 3 "A" NA NA NA
"953" "YCR002C" "CDC10" "YHR107C" "CDC12" 10 8 13 "A" 0.23293 NA 0.2939
"954" "YCR002C" "CDC10" "YJR076C" "CDC11" 10 8 11 "A" 0.43923 NA 0.3584
"955" "YCR002C" "CDC10" "YLR314C" "CDC3" 9 7 11 "A" 0.25248 NA NA
"956" "YCR002C" "CDC10" "YMR032W" "HOF1" 3 3 4 "C" NA NA 0.2085
"957" "YCR002C" "CDC10" "YNL166C" "BNI5" 3 2 3 "C" 0.04473 NA 0.1826
"958" "YCR005C" "CIT2" "YCR005C" "CIT2" 3 2 3 "D" NA NA NA
"959" "YCR009C" "RVS161" "YDR388W" "RVS167" 13 5 15 "D" 0.17612 NA 0.3374
"960" "YCR009C" "RVS161" "YMR192W" "GYL1" 4 1 4 "D" NA NA NA
"961" "YCR009C" "RVS161" "YMR232W" "FUS2" 6 2 6 "D" 0.01106 NA 0.1126
"962" "YCR009C" "RVS161" "YOR181W" "LAS17" 3 2 3 "C" 0.08749 NA 0.1539
"963" "YCR009C" "RVS161" "YOR216C" "RUD3" 2 1 2 "D" -0.05439 NA 0.3088
"964" "YCR009C" "RVS161" "YPL249C" "GYP5" 5 2 5 "D" NA NA 0.2776
"965" "YCR011C" "ADP1" "YLR100W" "ERG27" 1 2 2 "D" 0.01425 NA 0.3102
"966" "YCR016W" "" "YKL117W" "SBA1" 1 2 2 "D" 0.00788 0.256311246602074 -0.1478
"967" "YCR020W-B" "HTL1" "YFR037C" "RSC8" 4 4 4 "A" NA NA NA
"968" "YCR024C" "SLM5" "YKL117W" "SBA1" 1 2 2 "D" 0.00806 NA 0.0211
"969" "YCR027C" "RHB1" "YGR142W" "BTN2" 1 2 2 "D" 0.0104 -0.0397891246683808 -0.0165
"970" "YCR028C" "FEN2" "YKL117W" "SBA1" 1 2 2 "D" NA NA -0.0491
"971" "YCR028C-A" "RIM1" "YCR028C-A" "RIM1" 2 2 2 "D" NA NA NA
"972" "YCR028C-A" "RIM1" "YIR002C" "MPH1" 3 3 3 "D" -0.01264 NA -0.0527
"973" "YCR031C" "RPS14A" "YDL166C" "FAP7" 4 3 5 "C" NA NA 0.3909
"974" "YCR034W" "ELO2" "YDL015C" "TSC13" 2 2 2 "D" 0.08377 NA 0.3318
"975" "YCR034W" "ELO2" "YJL196C" "ELO1" 2 2 2 "D" -0.00223 NA 0.3
"976" "YCR035C" "RRP43" "YDR280W" "RRP45" 3 3 3 "A" 0.0091 NA 0.7027
"977" "YCR035C" "RRP43" "YGR095C" "RRP46" 7 5 8 "A" NA NA 0.617
"978" "YCR035C" "RRP43" "YHR034C" "PIH1" 1 2 2 "B" 0.05983 NA 0.1309
"979" "YCR035C" "RRP43" "YNL232W" "CSL4" 8 6 14 "A" 0.10515 NA 0.5557
"980" "YCR035C" "RRP43" "YPL211W" "NIP7" 3 2 4 "B" 0.12028 NA 0.3949
"981" "YCR039C" "MATALPHA2" "YCR084C" "TUP1" 1 2 2 "C" NA NA NA
"982" "YCR039C" "MATALPHA2" "YMR043W" "MCM1" 3 3 4 "D" NA NA NA
"983" "YCR042C" "TAF2" "YGL112C" "TAF6" 5 3 5 "A" NA NA 0.0926
"984" "YCR042C" "TAF2" "YMR005W" "TAF4" 4 2 4 "A" NA NA 0.389
"985" "YCR042C" "TAF2" "YPL129W" "TAF14" 5 4 7 "A" NA NA 0.1161
"986" "YCR043C" "" "YJL151C" "SNA3" 2 2 2 "D" NA 0.0906968684910869 NA
"987" "YCR047C" "BUD23" "YMR128W" "ECM16" 3 4 4 "C" NA NA 0.663
"988" "YCR047C" "BUD23" "YNR046W" "TRM112" 4 5 7 "D" NA NA 0.6219
"989" "YCR052W" "RSC6" "YFR037C" "RSC8" 7 8 8 "A" 0.14434 NA NA
"990" "YCR057C" "PWP2" "YER127W" "LCP5" 2 2 2 "A" 0.11213 NA 0.7759
"991" "YCR057C" "PWP2" "YJL069C" "UTP18" 8 4 9 "A" -0.00687 NA 0.8518
"992" "YCR057C" "PWP2" "YLR129W" "DIP2" 6 6 7 "A" 0.16478 NA 0.8934
"993" "YCR057C" "PWP2" "YLR409C" "UTP21" 10 6 11 "A" -0.00269 NA 0.8925
"994" "YCR057C" "PWP2" "YOR145C" "PNO1" 1 2 2 "A" NA NA 0.7692
"995" "YCR059C" "YIH1" "YJL189W" "RPL39" 1 2 2 "C" -0.00859 NA NA
"996" "YCR060W" "TAH1" "YCR060W" "TAH1" 2 2 3 "A" NA NA NA
"997" "YCR060W" "TAH1" "YHR034C" "PIH1" 16 7 25 "A" 0.08586 NA NA
"998" "YCR060W" "TAH1" "YOR310C" "NOP58" 3 2 3 "B" 0.01402 NA NA
"999" "YCR060W" "TAH1" "YPL240C" "HSP82" 9 9 16 "B" 0.02597 -0.0902950740407923 NA
"1000" "YCR066W" "RAD18" "YCR066W" "RAD18" 3 2 4 "A" NA NA NA
"1001" "YCR066W" "RAD18" "YDL064W" "UBC9" 3 4 6 "C" 0.00759 NA 0.1819
"1002" "YCR066W" "RAD18" "YDR510W" "SMT3" 1 2 2 "C" 0.06641 NA 0.2383
"1003" "YCR066W" "RAD18" "YGL058W" "RAD6" 13 5 17 "A" 0.19224 NA 0.184
"1004" "YCR066W" "RAD18" "YJL092W" "SRS2" 2 1 2 "C" 0.08975 NA 0.2232
"1005" "YCR066W" "RAD18" "YLR032W" "RAD5" 3 2 4 "A" 0.31655 NA 0.349
"1006" "YCR066W" "RAD18" "YNL312W" "RFA2" 1 2 2 "B" 0.04368 NA 0.145
"1007" "YCR067C" "SED4" "YPL085W" "SEC16" 1 2 2 "C" 0.12191 NA 0.4378
"1008" "YCR072C" "RSA4" "YER126C" "NSA2" 4 6 6 "A" NA NA 0.7012
"1009" "YCR072C" "RSA4" "YKL117W" "SBA1" 1 2 2 "C" -0.00416 NA -0.0952
"1010" "YCR072C" "RSA4" "YLR106C" "MDN1" 3 3 4 "A" 0.10988 NA 0.3184
"1011" "YCR073C" "SSK22" "YJL128C" "PBS2" 2 4 4 "A" 0.01925 -0.0801990106373551 NA
"1012" "YCR075W-A" "EGO2" "YKR007W" "MEH1" 2 3 4 "C" 0.23407 NA NA
"1013" "YCR075W-A" "EGO2" "YML121W" "GTR1" 2 2 2 "C" 0.31906 NA NA
"1014" "YCR077C" "PAT1" "YDL139C" "SCM3" 2 2 2 "C" 0.09027 NA NA
"1015" "YCR077C" "PAT1" "YDL160C" "DHH1" 13 4 14 "A" NA NA NA
"1016" "YCR077C" "PAT1" "YDR378C" "LSM6" 5 3 5 "A" 0.45788 NA NA
"1017" "YCR077C" "PAT1" "YDR404C" "RPB7" 3 2 3 "B" -0.05982 NA NA
"1018" "YCR077C" "PAT1" "YEL015W" "EDC3" 2 1 2 "B" 0.03258 NA NA
"1019" "YCR077C" "PAT1" "YER112W" "LSM4" 4 3 4 "A" NA NA NA
"1020" "YCR077C" "PAT1" "YER146W" "LSM5" 7 3 7 "A" NA NA NA
"1021" "YCR077C" "PAT1" "YGR218W" "CRM1" 2 2 2 "B" -0.00113 NA NA
"1022" "YCR077C" "PAT1" "YJL124C" "LSM1" 12 4 12 "A" 0.74476 NA NA
"1023" "YCR077C" "PAT1" "YJL140W" "RPB4" 1 2 2 "B" 0.06737 NA NA
"1024" "YCR077C" "PAT1" "YJR022W" "LSM8" 2 1 2 "A" 0.012 NA NA
"1025" "YCR077C" "PAT1" "YLR438C-A" "LSM3" 6 3 6 "A" 0.38425 NA NA
"1026" "YCR077C" "PAT1" "YMR080C" "NAM7" 2 2 2 "B" -0.02949 NA NA
"1027" "YCR077C" "PAT1" "YNL118C" "DCP2" 5 3 5 "B" 0.02436 NA NA
"1028" "YCR077C" "PAT1" "YNL147W" "LSM7" 4 3 4 "A" 0.23733 NA NA
"1029" "YCR077C" "PAT1" "YNR053C" "NOG2" 2 2 2 "B" 0.02518 NA NA
"1030" "YCR077C" "PAT1" "YOL149W" "DCP1" 3 3 3 "B" 0.0712 NA NA
"1031" "YCR077C" "PAT1" "YPL240C" "HSP82" 3 3 4 "B" -0.01815 NA NA
"1032" "YCR077C" "PAT1" "YPR129W" "SCD6" 2 2 2 "B" 0.07203 NA NA
"1033" "YCR084C" "TUP1" "YCR084C" "TUP1" 3 3 3 "A" NA NA NA
"1034" "YCR084C" "TUP1" "YDL105W" "NSE4" 2 2 2 "B" NA NA -0.0437
"1035" "YCR084C" "TUP1" "YDR308C" "SRB7" 2 3 3 "B" NA NA 0.1034
"1036" "YCR084C" "TUP1" "YGL025C" "PGD1" 2 3 3 "B" NA NA 0.1426
"1037" "YCR084C" "TUP1" "YKL181W" "PRS1" 1 2 2 "C" NA NA 0.3291
"1038" "YCR084C" "TUP1" "YPL042C" "SSN3" 2 2 2 "B" NA NA 0.3022
"1039" "YCR086W" "CSM1" "YCR086W" "CSM1" 3 4 6 "A" NA NA NA
"1040" "YCR086W" "CSM1" "YDL089W" "NUR1" 3 2 3 "C" 0.0496 0.257462435814666 0.1631
"1041" "YCR086W" "CSM1" "YDL214C" "PRR2" 2 2 2 "C" 0.01018 0.0796389230004926 NA
"1042" "YCR086W" "CSM1" "YDR309C" "GIC2" 3 2 3 "B" 0.00716 0.0506415788612763 0.1995
"1043" "YCR086W" "CSM1" "YDR439W" "LRS4" 8 9 13 "A" 0.69446 0.486428154895837 NA
"1044" "YCR086W" "CSM1" "YER106W" "MAM1" 6 5 7 "A" -0.00827 0.00232995836893919 NA
"1045" "YCR086W" "CSM1" "YFL008W" "SMC1" 2 1 2 "B" 0.07015 NA 0.3162
"1046" "YCR086W" "CSM1" "YFR028C" "CDC14" 3 3 3 "B" 0.04869 NA 0.3873
"1047" "YCR086W" "CSM1" "YHR061C" "GIC1" 3 2 3 "B" 0.01439 0.0190600819790499 NA
"1048" "YCR086W" "CSM1" "YHR152W" "SPO12" 2 1 2 "C" -0.03078 0.116286430159815 NA
"1049" "YCR086W" "CSM1" "YIL031W" "ULP2" 3 3 3 "C" NA NA NA
"1050" "YCR086W" "CSM1" "YIR010W" "DSN1" 5 4 7 "B" 0.0173 NA 0.4505
"1051" "YCR086W" "CSM1" "YKR010C" "TOF2" 6 4 6 "C" 0.20207 0.225413457315155 NA
"1052" "YCR086W" "CSM1" "YLR086W" "SMC4" 2 1 2 "B" 0.24004 NA 0.2234
"1053" "YCR086W" "CSM1" "YML109W" "ZDS2" 3 2 3 "B" -0.00942 0.119511350145688 0.4283
"1054" "YCR086W" "CSM1" "YOR264W" "DSE3" 2 2 2 "C" 0.0047 0.13316921100909 0.053
"1055" "YCR086W" "CSM1" "YPR018W" "RLF2" 2 2 2 "B" -0.00597 0.210427462080303 0.3745
"1056" "YCR088W" "ABP1" "YCR088W" "ABP1" 4 4 4 "D" NA NA NA
"1057" "YCR088W" "ABP1" "YDR388W" "RVS167" 5 4 5 "D" 0.08187 NA 0.5754
"1058" "YCR088W" "ABP1" "YFR024C-A" "LSB3" 2 2 3 "D" 0.00852 0.0155722681034771 NA
"1059" "YCR088W" "ABP1" "YHR016C" "YSC84" 2 2 3 "D" 0.06713 0.0920052208173138 0.5205
"1060" "YCR088W" "ABP1" "YHR023W" "MYO1" 1 2 2 "C" NA NA 0.1487
"1061" "YCR088W" "ABP1" "YIL095W" "PRK1" 4 8 9 "D" 0.20492 0.347597260138574 0.2084
"1062" "YCR088W" "ABP1" "YIR003W" "AIM21" 3 5 6 "C" 0.14719 0.189115803068365 0.3544
"1063" "YCR088W" "ABP1" "YLR332W" "MID2" 1 2 2 "D" 0.03732 -0.0758328988032964 -0.0837
"1064" "YCR088W" "ABP1" "YMR109W" "MYO5" 2 2 2 "D" 0.18257 0.293743125338965 0.3986
"1065" "YCR088W" "ABP1" "YNL020C" "ARK1" 8 10 11 "D" 0.07699 0.0388915982987464 NA
"1066" "YCR088W" "ABP1" "YNL094W" "APP1" 6 8 8 "D" 0.02789 -0.0493962328006982 0.2337
"1067" "YCR088W" "ABP1" "YNL106C" "INP52" 3 3 3 "C" 0.08944 0.500399717642592 0.3114
"1068" "YCR088W" "ABP1" "YNL138W" "SRV2" 9 8 12 "D" 0.07201 NA 0.6307
"1069" "YCR088W" "ABP1" "YNL298W" "CLA4" 2 1 2 "C" 0.07982 NA 0.0216
"1070" "YCR088W" "ABP1" "YOR284W" "HUA2" 4 3 4 "D" 0.02415 -0.120754586878747 NA
"1071" "YCR088W" "ABP1" "YOR367W" "SCP1" 3 5 6 "D" 0.01368 0.0317988913523299 0.1052
"1072" "YCR092C" "MSH3" "YML095C" "RAD10" 1 2 2 "C" 0.04909 -0.0416382925640346 NA
"1073" "YCR092C" "MSH3" "YOL090W" "MSH2" 7 4 8 "D" 0.01342 0.262148895640722 NA
"1074" "YCR093W" "CDC39" "YDL165W" "CDC36" 9 7 12 "A" 0.54505 NA -0.0574
"1075" "YCR093W" "CDC39" "YER068W" "MOT2" 12 6 14 "A" NA NA 0.3663
"1076" "YCR093W" "CDC39" "YGR134W" "CAF130" 6 5 8 "A" -0.01003 NA 0.3872
"1077" "YCR093W" "CDC39" "YGR274C" "TAF1" 1 2 2 "B" 0.09053 NA 0.433
"1078" "YCR093W" "CDC39" "YHR206W" "SKN7" 1 2 2 "C" 0.06964 NA 0.2505
"1079" "YCR093W" "CDC39" "YNL288W" "CAF40" 9 4 10 "A" 0.05492 NA 0.2958
"1080" "YCR093W" "CDC39" "YNR052C" "POP2" 12 7 16 "A" NA NA 0.2317
"1081" "YCR093W" "CDC39" "YPR072W" "NOT5" 11 7 14 "A" NA NA 0.2782
"1082" "YCR095C" "OCA4" "YHL029C" "OCA5" 2 2 2 "A" 0.24265 0.853192919506917 0.2958
"1083" "YDL002C" "NHP10" "YDL002C" "NHP10" 2 2 2 "A" NA NA NA
"1084" "YDL002C" "NHP10" "YFL039C" "ACT1" 3 4 4 "A" 0.0036 NA 0.0393
"1085" "YDL003W" "MCD1" "YFL008W" "SMC1" 17 5 18 "A" 0.6173 NA 0.5734
"1086" "YDL003W" "MCD1" "YFR038W" "IRC5" 1 2 2 "C" -0.02144 NA 0.3272
"1087" "YDL003W" "MCD1" "YIL026C" "IRR1" 14 5 15 "A" 0.02909 NA 0.6267
"1088" "YDL003W" "MCD1" "YJL074C" "SMC3" 27 6 30 "A" 0.65321 NA 0.5935
"1089" "YDL003W" "MCD1" "YMR076C" "PDS5" 9 6 11 "C" 0.23828 NA 0.7015
"1090" "YDL005C" "MED2" "YPR199C" "ARR1" 1 2 2 "C" -0.04016 NA 0.1649
"1091" "YDL006W" "PTC1" "YDR162C" "NBP2" 3 3 3 "D" 0.56893 NA 0.4094
"1092" "YDL006W" "PTC1" "YJL095W" "BCK1" 2 2 2 "C" 0.29262 NA 0.2904
"1093" "YDL006W" "PTC1" "YJL128C" "PBS2" 2 2 2 "C" -0.04777 NA NA
"1094" "YDL006W" "PTC1" "YNL298W" "CLA4" 2 2 2 "C" -0.00836 NA 0.29
"1095" "YDL007W" "RPT2" "YHR027C" "RPN1" 10 6 11 "A" 0.27839 NA 0.6322
"1096" "YDL007W" "RPT2" "YIL007C" "NAS2" 2 2 2 "C" 0.03783 NA 0.3595
"1097" "YDL007W" "RPT2" "YKL145W" "RPT1" 7 5 7 "A" 0.37488 NA 0.7894
"1098" "YDL008W" "APC11" "YLR127C" "APC2" 5 4 5 "A" 0.0905 NA 0.0712
"1099" "YDL010W" "GRX6" "YDL010W" "GRX6" 4 2 5 "D" NA NA NA
"1100" "YDL013W" "SLX5" "YDL013W" "SLX5" 4 3 4 "A" NA NA NA
"1101" "YDL013W" "SLX5" "YDL042C" "SIR2" 1 2 2 "B" NA NA 0.2815
"1102" "YDL013W" "SLX5" "YDR409W" "SIZ1" 1 3 3 "C" 0.04339 NA 0.3321
"1103" "YDL013W" "SLX5" "YDR510W" "SMT3" 5 1 5 "C" 0.21243 NA 0.2343
"1104" "YDL013W" "SLX5" "YER041W" "YEN1" 1 3 3 "C" NA NA NA
"1105" "YDL013W" "SLX5" "YER116C" "SLX8" 9 5 9 "A" 0.47644 NA NA
"1106" "YDL013W" "SLX5" "YGR140W" "CBF2" 3 1 3 "B" 0.10861 NA 0.4304
"1107" "YDL013W" "SLX5" "YJL092W" "SRS2" 2 2 2 "C" 0.21291 NA 0.2493
"1108" "YDL013W" "SLX5" "YML023C" "NSE5" 2 2 2 "B" 0.04999 NA 0.3317
"1109" "YDL013W" "SLX5" "YOR144C" "ELG1" 2 2 3 "B" 0.1106 NA 0.3746
"1110" "YDL013W" "SLX5" "YOR191W" "ULS1" 1 2 2 "C" -0.02787 NA NA
"1111" "YDL013W" "SLX5" "YPL269W" "KAR9" 1 2 2 "C" 0.00231 NA NA
