A,B
YCR046C,YGR220C
YHR072WA,YLR175W
YHL004W,YPL118W
YBR279W,YOR123C
YML025C,YNL284C
YGR104C,YHR041C
Q0250,YLR038C
YBR111WA,YPL047W
YDR529C,YOR065W
YBL025W,YMR270C
YDR378C,YER146W
YKR085C,YMR024W
YER056CA,YHR010W
YDR280W,YGR195W
YAL013W,YIL084C
YKR063C,YLL035W
YAR008W,YLR105C
YDR378C,YLR438CA
YGR005C,YGR186W
YJR010CA,YLR066W
YHR012W,YJL154C
YBR251W,YNL137C
YOL135C,YPR168W
YEL002C,YOR103C
YJR086W,YOR212W
YLR448W,YPL143W
YDR280W,YOL142W
YAL025C,YDR087C
YDL043C,YJL203W
YKL074C,YLR116W
Q0045,Q0250
YDL135C,YPR165W
YMR158W,YOR158W
YKL125W,YOR340C
YHR072W,YLR100W
YEL048C,YMR218C
YKL052C,YKR083C
YDR267C,YHR122W
YER094C,YPR103W
YGL030W,YHR010W
YDR280W,YGR095C
YBR122C,YDR462W
YER038C,YML023C
YDL030W,YMR240C
YGL129C,YJR113C
YDR292C,YKL154W
YDR477W,YGL115W
YIL132C,YLR376C
YHR172W,YLR212C
YBR107C,YDR254W
YDR254W,YDR318W
YKL135C,YPL259C
YNR004W,YPL157W
YDR004W,YDR076W
YPL129W,YPL235W
YJL062WA,YLR203C
YGR165W,YIL093C
YJL210W,YMR026C
YDR322W,YNL252C
YBR251W,YMR158W
YMR149W,YOR103C
YHR193C,YPL037C
YBR198C,YMR236W
YBR173C,YOR157C
YDL105W,YLR007W
YBR146W,YGL129C
YIR022W,YML055W
YDL136W,YOL127W
YGR078C,YNL153C
YLR071C,YPR168W
YER082C,YHR148W
YDR311W,YLR005W
YDR404C,YJL140W
YGL161C,YGL198W
YBL041W,YOR157C
YMR227C,YNL137C
YFL024C,YHR090C
YDL107W,YGR062C
YLR275W,YPR182W
YBR146W,YJR113C
YBR251W,YDR041W
YER050C,YIL093C
YAR003W,YBR175W
YCL008C,YPL065W
YDR013W,YOL146W
YEL051W,YGR020C
YLL018CA,YPL132W
YML077W,YOR115C
YMR159C,YPL149W
YML102W,YPR018W
YBR234C,YIL062C
YHL022C,YLR329W
YOL094C,YOR217W
YMR005W,YMR236W
YIL139C,YOR346W
YDL013W,YER116C
YLL002W,YNL246W
YBR004C,YNL158W
YIL009CA,YLR318W
YFL024C,YOR244W
YLR175W,YNL124W
YBL026W,YJL124C
YBL103C,YOL067C
YDR231C,YGR062C
YKL034W,YOL073C
YDR446W,YLR445W
YDR405W,YPL173W
YDR480W,YPL049C
YBR039W,YPL271W
YDR265W,YJL210W
YGR013W,YKL012W
YJL072C,YOL146W
YDL082W,YDL136W
YDR337W,YOR158W
YER021W,YFR052W
YBR128C,YPL120W
YGR216C,YLR242C
YGR214W,YOR056C
YHR187W,YPL101W
YAR007C,YNL312W
YFR004W,YOR261C
YDL136W,YMR121C
YDL153C,YJR002W
YGL033W,YGL183C
YER058W,YPL132W
YHL001W,YLR448W
YDR473C,YPR178W
YDL083C,YJR123W
YKL190W,YML057W
YDR288W,YLR007W
YIR015W,YNL282W
YHL015W,YLR388W
YDR429C,YMR146C
YKL034W,YOR223W
YDR246W,YKR068C
YML093W,YOR145C
YFR050C,YOR157C
YGR246C,YNL039W
YLR288C,YOR368W
YHR122W,YIL128W
YAR003W,YPL138C
YDR201W,YKR083C
YJR006W,YJR043C
YMR213W,YPR101W
Q0085,YPL078C
YNL294C,YOR030W
YER153C,YGR222W
YLR438CA,YPR182W
YJL013C,YJL030W
YBL041W,YER094C
YIL084C,YMR263W
YGR078C,YJL179W
YMR126C,YPR153W
YEL024W,YMR194CB
YCR082W,YOR023C
YHR085W,YNL182C
YDL208W,YHR072WA
YDR176W,YPL254W
YLR201C,YOR125C
YFL048C,YLR250W
YLR117C,YMR213W
YGL022W,YML019W
YNL261W,YPR162C
YJL179W,YML094W
YJL148W,YNL248C
YDR013W,YDR489W
YFL024C,YJR082C
YCR035C,YGR158C
YGL044C,YMR061W
YHR060W,YKL119C
YCL010C,YDR176W
YDR156W,YOR340C
YDR211W,YLR291C
YIR005W,YLR016C
YNR021W,YPR063C
YGR057C,YKL176C
YBR070C,YGL047W
YNR037C,YPR166C
YER007CA,YJR014W
YDR318W,YPL018W
YFL037W,YOR265W
YGR275W,YMR033W
YIL093C,YOR158W
YOR056C,YOR145C
YKL059C,YLR277C
YIL093C,YMR158W
YDR246W,YDR472W
YDR314C,YML011C
YGL049C,YOL139C
YCL052C,YEL060C
YER021W,YOR261C
YJL166W,YOR065W
YDR493W,YEL024W
YDR437W,YPL175W
YNR003C,YPR190C
YOR063W,YPL093W
YKL053CA,YLR168C
YBL093C,YPR168W
YBR146W,YDR175C
YDR330W,YGR048W
YCL045C,YKL207W
YGL187C,YGL191W
YHR081W,YOR001W
YOR287C,YPR137W
YBR193C,YER022W
YAR007C,YJL173C
YJL143W,YNR017W
YAL013W,YPL181W
YDR189W,YLR026C
YHR203C,YIL069C
YJL190C,YOR096W
YDR176W,YGR252W
YIL127C,YKL099C
YNL232W,YOL142W
YGL018C,YPL135W
YLR200W,YNL153C
YHR115C,YNL116W
YGR009C,YOR327C
YDR167W,YPL011C
YGR003W,YOL133W
YOR159C,YPR182W
YBR156C,YPL209C
YDR022C,YLR423C
YBR036C,YPL057C
YPL151C,YPR101W
YDL148C,YOL010W
YBR058CA,YDR062W
YDL235C,YLR006C
YOL139C,YOR276W
YLR288C,YPL194W
YBR191W,YPL131W
YBR269C,YLL041C
YKR085C,YNL177C
YNL005C,YNL252C
YNL151C,YPR190C
YPL076W,YPL175W
YDR339C,YLL011W
YLL006W,YOL009C
YIL144W,YOL069W
YGR091W,YPR082C
YDL082W,YPL249CA
YHR039CA,YOR332W
YLR292C,YOR254C
YDL111C,YOL021C
YLL036C,YMR213W
YMR203W,YNL131W
YCR063W,YPR152C
YBR031W,YGL076C
YGR083C,YKR026C
YDR145W,YMR236W
YBR167C,YNL221C
YML098W,YMR236W
YGL045W,YNL294C
YCL054W,YDR412W
YMR121C,YPL249CA
YOL127W,YPL146C
YER025W,YJR007W
YAL009W,YIL090W
YDR312W,YKL082C
YDL097C,YFR004W
YGR163W,YML121W
YDL004W,YPL271W
YIL157C,YKL137W
YJL191W,YLR441C
YDR079CA,YPL122C
YDR296W,YDR405W
YLR009W,YPL093W
YER131W,YJL191W
YHR196W,YMR093W
YKR006C,YMR024W
YMR049C,YOL077C
YER140W,YOR154W
YLR360W,YPL120W
YBL081W,YDL167C
YDL082W,YGL103W
YDL150W,YKR025W
YER021W,YPR108W
YFL059W,YMR095C
YBR060C,YLL004W
YHL002W,YNR006W
YDR265W,YMR026C
YDL111C,YGR195W
YDR308C,YOL135C
YDR489W,YJL072C
YOR287C,YPR112C
YJR082C,YPR031W
YER145C,YFL041W
YDL135C,YLR229C
YHR079CA,YPL121C
YFR036W,YKL022C
YLR417W,YPL065W
YDL014W,YOR310C
YBL038W,YNL005C
YMR093W,YPR144C
YBR211C,YGR179C
YCR077C,YLR438CA
YBR158W,YML064C
YGL161C,YGR172C
YDR188W,YJL008C
YER025W,YPL237W
YGL212W,YMR197C
YDR468C,YMR197C
YDL202W,YMR225C
YER049W,YOR051C
YCL045C,YIL027C
YDR045C,YKR025W
YEL002C,YGL022W
YDR308C,YPR168W
YMR288W,YPR094W
YDL091C,YOL073C
YBR257W,YDR478W
YAL043C,YGR156W
YGR172C,YNL263C
YLL045C,YPL249CA
YGR082W,YNL131W
YHR167W,YML062C
YDL053C,YGR178C
YDR078C,YHL006C
YML105C,YPR088C
YGL022W,YOR103C
YCL017C,YPL135W
YGL005C,YNL051W
YML011C,YMR201C
YGL076C,YOR312C
YER094C,YOR157C
YDR022C,YPL166W
YDL064W,YOR156C
YGR128C,YHR196W
YJL047C,YOL133W
YCR035C,YOR001W
YFR050C,YOR362C
YJL184W,YKR038C
YBR258C,YHR119W
YDL207W,YOR046C
YER071C,YIR003W
YGL120C,YGR280C
YHR089C,YLR175W
YNL177C,YPL173W
YGL080W,YHR162W
YNL110C,YOL127W
YDR447C,YGR214W
YCL059C,YNL308C
YLL045C,YOL127W
YAL034WA,YJR112W
YPL093W,YPR016C
YER012W,YPR103W
YDR013W,YJL072C
YBR188C,YLR117C
YJL011C,YNL151C
YBR181C,YHR203C
YDL148C,YLR186W
YCR035C,YNL232W
YML130C,YOL088C
YGL113W,YOR060C
YMR049C,YOR272W
YDR365C,YNR054C
YCR057C,YHR148W
YCR072C,YER126C
YAL010C,YNL070W
YGL247W,YHR036W
YDR005C,YNR003C
YBR082C,YER116C
YDR145W,YDR167W
YDL014W,YGL078C
YLL045C,YMR049C
YKR068C,YML077W
YFL046W,YLR283W
YBR088C,YKL113C
YDL087C,YKL012W
YJL072C,YLR103C
YDR460W,YER171W
YKR008W,YLR033W
YBR082C,YDL190C
YLR088W,YLR459W
YFR001W,YKL172W
YDL147W,YDR427W
YDR416W,YJR050W
YDL030W,YOR319W
YDR447C,YNL178W
YIL133C,YOR063W
YDR416W,YGR129W
YMR024W,YNL177C
YDL240W,YPR165W
YDR195W,YKL018W
YFR008W,YMR052W
YJL019W,YOL104C
YIL150C,YLR103C
YIL071C,YOL117W
YDR189W,YOR075W
YLL032C,YML119W
YDL044C,YLR139C
YGL128C,YLR424W
YLR244C,YNR029C
YLR388W,YNL178W
YAL033W,YBR167C
YCL008C,YGL045W
YBR268W,YNL185C
YMR288W,YNL138WA
YKL021C,YPR143W
YDR427W,YOR261C
YKL207W,YLL014W
YGL079W,YMR199W
YDR517W,YPR181C
YDR092W,YGL087C
YGL097W,YOR185C
