geneA,geneB
YGR214W,YJL177W
YLR058C,YKR080W
YHR007C,YMR015C
YKR080W,YLR058C
YMR015C,YHR007C
YCR012W,YDR050C
YML024W,YOR096W
YDR050C,YCR012W
YOR096W,YML024W
YFR030W,YJR010W
YJR074W,YJR073C
YJR073C,YJR074W
YOR385W,YMR316W
YMR316W,YOR385W
YJR010W,YFR030W
YDR050C,YAL038W
YAL038W,YDR050C
YNL302C,YOL121C
YBR196C,YKL060C
YOL121C,YNL302C
YKL060C,YBR196C
YNL178W,YLR029C
YPL163C,YNL300W
YLR029C,YNL178W
YNL300W,YPL163C
YCR012W,YKL060C
YOL086C,YKL060C
YKL060C,YOL086C
YKL060C,YCR012W
YMR085W,YMR084W
YMR084W,YMR085W
YOL127W,YBL092W
YDR050C,YOL086C
YBL092W,YOL127W
YOL086C,YDR050C
YKL209C,YIL015W
YIL015W,YKL209C
YGL028C,YBR158W
YBR158W,YGL028C
YDR146C,YMR001C
YIL094C,YJL200C
YMR001C,YDR146C
YJL200C,YIL094C
YLR058C,YLR359W
YLR058C,YDR019C
YOR027W,YMR186W
YDR019C,YLR058C
YMR186W,YOR027W
YLR359W,YLR058C
YMR300C,YOR128C
YOR128C,YMR300C
YHR018C,YMR062C
YMR062C,YHR018C
YNR043W,YML126C
YML126C,YNR043W
YBR191W,YML063W
YLR058C,YAR015W
YAR015W,YLR058C
YGL031C,YGR148C
YML063W,YBR191W
YGR148C,YGL031C
YLR249W,YDL229W
YDL229W,YLR249W
YML063W,YLR441C
YLR441C,YML063W
YER069W,YOL140W
YOL140W,YER069W
YEL033W,YEL034W
YEL034W,YEL033W
YBL003C,YDR224C
YDR050C,YHR174W
YDR224C,YBL003C
YKL016C,YBR039W
YBR039W,YKL016C
YHR174W,YDR050C
YKL148C,YLL041C
YLL041C,YKL148C
YGL055W,YDR492W
YDR492W,YGL055W
YDR457W,YKL203C
YKL203C,YDR457W
YJR016C,YHR208W
YKL152C,YBR196C
YHR208W,YJR016C
YBR196C,YKL152C
YLR216C,YPL240C
YML063W,YPR102C
YPL240C,YLR216C
YPR102C,YML063W
YGR233C,YJL012C
YJL012C,YGR233C
YGR240C,YBR196C
YMR032W,YAR018C
YBR196C,YGR240C
YAR018C,YMR032W
YBR031W,YOR063W
YOR063W,YBR031W
YNL007C,YPL240C
YAR009C,YDR261CD
YMR032W,YMR001C
YMR189W,YAL044C
YMR001C,YMR032W
YDR261CD,YAR009C
YPL240C,YNL007C
YAL044C,YMR189W
YGR175C,YHR007C
YKL016C,YDL004W
YDL004W,YKL016C
YHR007C,YGR175C
YMR142C,YKL180W
YDR298C,YKL016C
YMR032W,YOR025W
YKL016C,YDR298C
YKL180W,YMR142C
YOR025W,YMR032W
YMR300C,YKR080W
YBL071C,YBL071WA
YBL071WA,YBL071C
YDR019C,YKR080W
YKR080W,YMR300C
YKR080W,YDR019C
YHR193C,YPL037C
YPL037C,YHR193C
YBR189W,YLR061W
YDR447C,YOR096W
YBR298C,YGR289C
YGR289C,YBR298C
YOR096W,YDR447C
YLR061W,YBR189W
YMR142C,YBR189W
YBR189W,YMR142C
YDL075W,YIL052C
YMR120C,YNL220W
YHR051W,YDR529C
YIL052C,YDL075W
YNL220W,YMR120C
YDR529C,YHR051W
YNL007C,YFL016C
YJL177W,YKL180W
YPL158C,YDL179W
YDL179W,YPL158C
YKL180W,YJL177W
YFL016C,YNL007C
YLR359W,YNL220W
YNL220W,YLR359W
YPL078C,YBR039W
YNL302C,YKL006W
YKL006W,YNL302C
YBR039W,YPL078C
YLR259C,YJR045C
YFR032CA,YLR388W
YLR388W,YFR032CA
YJR045C,YLR259C
YJL109C,YOR341W
YOR341W,YJL109C
YML027W,YNL289W
YKL148C,YDR178W
YNL289W,YML027W
YDR178W,YKL148C
YGR094W,YBL076C
YBL076C,YGR094W
YDR146C,YBR038W
YDR050C,YBR196C
YBR196C,YDR050C
YAL007C,YAR002CA
YBR038W,YDR146C
YAR002CA,YAL007C
YMR300C,YMR120C
YOR128C,YLR058C
YLR058C,YOR128C
YCR012W,YBR196C
YDR298C,YJR121W
YBR196C,YCR012W
YJR121W,YDR298C
YBL092W,YIL052C
YMR120C,YMR300C
YIL052C,YBL092W
YOL163W,YOL162W
YMR300C,YAR015W
YAR015W,YMR300C
YOL162W,YOL163W
YJL008C,YJL014W
YJL014W,YJL008C
YDR146C,YGL021W
YGL021W,YDR146C
YGL187C,YEL024W
YEL024W,YGL187C
YNL064C,YOR027W
YOR027W,YNL064C
YML024W,YDR447C
YNL302C,YJR123W
YDR447C,YML024W
YJR123W,YNL302C
YJL111W,YJL008C
YJL008C,YJL111W
YHR018C,YJR109C
YJR109C,YHR018C
YGR282C,YLR390WA
YNL102W,YNL262W
YDL082W,YJL177W
YJL177W,YDL082W
YNL262W,YNL102W
YLR390WA,YGR282C
YJL088W,YOL140W
YCR012W,YGR254W
YOL140W,YJL088W
YBR221C,YER178W
YGR254W,YCR012W
YER178W,YBR221C
YDR146C,YJR092W
YJR092W,YDR146C
YBL002W,YDR224C
YDR224C,YBL002W
YDR258C,YPL240C
YGR061C,YLR359W
YGL123W,YLL045C
YPL240C,YDR258C
YLR359W,YGR061C
YLL045C,YGL123W
YGR183C,YHR051W
YHR051W,YGR183C
YKR069W,YLR092W
YLR092W,YKR069W
YNL102W,YDR097C
YDR097C,YNL102W
YNL066W,YGL028C
YKL141W,YDR178W
YML100W,YBR126C
YBR126C,YML100W
YGL028C,YNL066W
YDR178W,YKL141W
YDR497C,YGL077C
YOL143C,YLR420W
YGL123W,YJR123W
YOR065W,YEL024W
YEL024W,YOR065W
YJR123W,YGL123W
YGL077C,YDR497C
YLR420W,YOL143C
YOL040C,YKL180W
YKL073W,YKL165C
YKL165C,YKL073W
YKL180W,YOL040C
YDR258C,YDR171W
YDL010W,YDL009C
YDL009C,YDL010W
YDR171W,YDR258C
YAL005C,YPL240C
YGL031C,YDL075W
YDL075W,YGL031C
YJL200C,YNR050C
YNR050C,YJL200C
YLR092W,YNL277W
YPL240C,YAL005C
YNL277W,YLR092W
YMR001C,YOR025W
YOR025W,YMR001C
YKL060C,YJR009C
YJR009C,YKL060C
YDR497C,YER026C
YDR012W,YBR031W
YGR142W,YPL240C
YBR191W,YOL127W
YOL127W,YBR191W
YBR031W,YDR012W
YPL240C,YGR142W
YJR137C,YKL001C
YER026C,YDR497C
YKL001C,YJR137C
YPL078C,YDL004W
YDL004W,YPL078C
YGR192C,YAL038W
YJR121W,YBR039W
YAL038W,YGR192C
YBR039W,YJR121W
YNL302C,YPR102C
YNL052W,YHR051W
YLR129W,YLR409C
YLR409C,YLR129W
YKL180W,YML073C
YPR102C,YNL302C
YHR051W,YNL052W
YML073C,YKL180W
YMR300C,YLR058C
YLR058C,YMR300C
YBR189W,YDR064W
YOL143C,YKL216W
YKL216W,YOL143C
YDR064W,YBR189W
YLR197W,YLR175W
YBR191W,YJR123W
YOL039W,YDR382W
YJR077C,YJR121W
YJR121W,YJR077C
YDR382W,YOL039W
YLR175W,YLR197W
YJR123W,YBR191W
YIR033W,YOL101C
YOL101C,YIR033W
YMR076C,YNL102W
YNL102W,YMR076C
YJR077C,YBL030C
YLR388W,YDR500C
YBL030C,YJR077C
YDR500C,YLR388W
YOL127W,YPL143W
YKR080W,YLR359W
YLR359W,YKR080W
YPL143W,YOL127W
YIR038C,YIR037W
YPR119W,YMR001C
YMR001C,YPR119W
YIR037W,YIR038C
YNL113W,YJR063W
YJR063W,YNL113W
YLR216C,YDR214W
YAR015W,YGR061C
YGR061C,YAR015W
YDR214W,YLR216C
YPL163C,YPL256C
YKL152C,YGR254W
YPL256C,YPL163C
YGR254W,YKL152C
YER091C,YDR502C
YFR032CA,YJL189W
YDR502C,YER091C
YJL189W,YFR032CA
YLR454W,YLL040C
YLL040C,YLR454W
YGR061C,YMR120C
YMR120C,YGR061C
YPL240C,YMR186W
YMR186W,YPL240C
YMR168C,YMR167W
YMR167W,YMR168C
YAR018C,YBR038W
YBR038W,YAR018C
YMR093W,YCR072C
YIR017C,YNL277W
YOL058W,YJL088W
YJL088W,YOL058W
YOL039W,YCR031C
YCR031C,YOL039W
YCR072C,YMR093W
YNL277W,YIR017C
YDR497C,YBR029C
YMR229C,YNL132W
YBR029C,YDR497C
YNL132W,YMR229C
YGL055W,YOL002C
YOL002C,YGL055W
YGR060W,YMR015C
YOL058W,YER069W
YOL016C,YOR385W
YER069W,YOL058W
YOR385W,YOL016C
YLR038C,YHR051W
YHR051W,YLR038C
YMR015C,YGR060W
YDR261WB,YAR009C
YDR035W,YMR062C
YAR009C,YDR261WB
YMR062C,YDR035W
YNL052W,YEL024W
YOR167C,YFR032CA
YFR032CA,YOR167C
YEL024W,YNL052W
YCR012W,YAL038W
YKL152C,YJR009C
YAL038W,YCR012W
YGL103W,YDR064W
YOR096W,YHR010W
YDR064W,YGL103W
YHR010W,YOR096W
YJR009C,YKL152C
YOR128C,YGL234W
YJR121W,YBL030C
YDR394W,YOR117W
YCL027W,YNL279W
YDR382W,YDL130W
YHR143W,YNL327W
YNL327W,YHR143W
YGL234W,YOR128C
YDL130W,YDR382W
YNL279W,YCL027W
YBL030C,YJR121W
YOR117W,YDR394W
YLR058C,YGR061C
YJR121W,YBL099W
YGR183C,YGL187C
YBL099W,YJR121W
YGR061C,YLR058C
YGL187C,YGR183C
YMR199W,YNL289W
YNL289W,YMR199W
YBR191W,YNL302C
YLR048W,YLR448W
YNL302C,YBR191W
YLR448W,YLR048W
YDR427W,YFR052W
YFR052W,YDR427W
YFR030W,YLR092W
YDL147W,YDR427W
YLR092W,YFR030W
YDR427W,YDL147W
YNL007C,YBR101C
YOL127W,YML063W
YML063W,YOL127W
YBR101C,YNL007C
YNL134C,YDR533C
