A,B
YAL034WA,YBR211C
YAL034WA,YDL008W
YAL034WA,YDL140C
YAL034WA,YDR021W
YAL034WA,YDR081C
YAL034WA,YDR113C
YAL034WA,YDR527W
YAL034WA,YFL034CB
YAL034WA,YGL022W
YAL034WA,YGL093W
YAL034WA,YGL097W
YAL034WA,YGL130W
YAL034WA,YGL247W
YAL034WA,YGR002C
YAL034WA,YGR092W
YAL034WA,YGR119C
YAL034WA,YGR140W
YAL034WA,YGR179C
YAL034WA,YGR218W
YAL034WA,YGR274C
YAL034WA,YHR036W
YAL034WA,YIR010W
YAL034WA,YJL034W
YAL034WA,YJL039C
YAL034WA,YJL081C
YAL034WA,YJL097W
YAL034WA,YJL174W
YAL034WA,YJR112W
YAL034WA,YKL052C
YAL034WA,YLR005W
YAL034WA,YLR195C
YAL034WA,YLR293C
YAL034WA,YML069W
YAL034WA,YMR028W
YAL034WA,YMR117C
YAL034WA,YMR298W
YAL034WA,YOR151C
YAL034WA,YOR181W
YAL034WA,YOR250C
YAL034WA,YOR262W
YAL034WA,YPL228W
YAL034WA,YPL233W
YAL038W,YBL041W
YAL038W,YBL074C
YAL038W,YBR160W
YAL038W,YBR167C
YAL038W,YDL108W
YAL038W,YDL164C
YAL038W,YDR082W
YAL038W,YDR145W
YAL038W,YDR168W
YAL038W,YDR331W
YAL038W,YER157W
YAL038W,YFL008W
YAL038W,YFL034CB
YAL038W,YFL039C
YAL038W,YFL045C
YAL038W,YFR037C
YAL038W,YGL048C
YAL038W,YHR186C
YAL038W,YHR196W
YAL038W,YIL048W
YAL038W,YJL072C
YAL038W,YJL085W
YAL038W,YJL091C
YAL038W,YJR007W
YAL038W,YKL045W
YAL038W,YLL031C
YAL038W,YLR078C
YAL038W,YLR100W
YAL038W,YLR293C
YAL038W,YLR298C
YAL038W,YML065W
YAL038W,YMR005W
YAL038W,YMR028W
YAL038W,YMR168C
YAL038W,YMR235C
YAL038W,YNL061W
YAL038W,YNL102W
YAL038W,YOR074C
YAL038W,YOR151C
YAL038W,YOR236W
YAL038W,YOR244W
YAL038W,YOR262W
YAL038W,YOR335C
YAL038W,YPL228W
YAL041W,YBL035C
YAL041W,YBL074C
YAL041W,YBR058CA
YAL041W,YBR060C
YAL041W,YBR070C
YAL041W,YBR079C
YAL041W,YBR102C
YAL041W,YBR109C
YAL041W,YBR142W
YAL041W,YBR198C
YAL041W,YBR236C
YAL041W,YDL003W
YAL041W,YDL015C
YAL041W,YDL017W
YAL041W,YDL030W
YAL041W,YDL045C
YAL041W,YDL058W
YAL041W,YDL103C
YAL041W,YDL111C
YAL041W,YDL143W
YAL041W,YDL145C
YAL041W,YDL147W
YAL041W,YDL148C
YAL041W,YDL164C
YAL041W,YDL207W
YAL041W,YDL217C
YAL041W,YDR002W
YAL041W,YDR021W
YAL041W,YDR045C
YAL041W,YDR050C
YAL041W,YDR081C
YAL041W,YDR168W
YAL041W,YDR180W
YAL041W,YDR189W
YAL041W,YDR212W
YAL041W,YDR238C
YAL041W,YDR240C
YAL041W,YDR243C
YAL041W,YDR325W
YAL041W,YDR331W
YAL041W,YDR373W
YAL041W,YDR454C
YAL041W,YDR478W
YAL041W,YDR527W
YAL041W,YER125W
YAL041W,YER136W
YAL041W,YER148W
YAL041W,YFL009W
YAL041W,YFL034CB
YAL041W,YFR005C
YAL041W,YGL022W
YAL041W,YGL048C
YAL041W,YGL065C
YAL041W,YGL155W
YAL041W,YGL247W
YAL041W,YGR098C
YAL041W,YGR211W
YAL041W,YGR245C
YAL041W,YGR264C
