A,B
YAL041W,YLR459W
YAL041W,YML064C
YAL041W,YML077W
YAL041W,YML125C
YAL041W,YML126C
YAL041W,YML127W
YAL041W,YMR094W
YAL041W,YMR112C
YAL041W,YMR117C
YAL041W,YMR197C
YAL041W,YMR235C
YAL041W,YNR003C
YAL041W,YOL066C
YAL041W,YOL077C
YAL041W,YOR149C
YAL041W,YOR249C
YAL041W,YOR259C
YAL041W,YOR262W
YAL041W,YOR272W
YAL041W,YPL020C
YAL041W,YPL028W
YAL041W,YPL169C
YAL041W,YPL190C
YAL041W,YPR088C
YAL041W,YPR181C
YAL041W,YPR183W
YAL043C,YBL074C
YAL043C,YBR198C
YAL043C,YDR052C
YAL043C,YDR434W
YAL043C,YER136W
YAL043C,YHR036W
YAL043C,YJL081C
YAL043C,YJL090C
YAL043C,YJL174W
YAL043C,YLR186W
YAL043C,YML015C
YAL043C,YML049C
YAL043C,YOL066C
YAL043C,YOR122C
YAL043C,YOR249C
YAL043C,YPR181C
YAL043C,YPR183W
YAR019C,YBL097W
YAR019C,YBR060C
YAR019C,YBR079C
YAR019C,YBR193C
YAR019C,YDL003W
YAR019C,YDL008W
YAR019C,YDL017W
YAR019C,YDL028C
YAR019C,YDL108W
YAR019C,YDL126C
YAR019C,YDR013W
YAR019C,YDR052C
YAR019C,YDR082W
YAR019C,YDR189W
YAR019C,YDR325W
YAR019C,YER136W
YAR019C,YER157W
YAR019C,YGL061C
YAR019C,YGL142C
YAR019C,YGR074W
YAR019C,YGR156W
YAR019C,YGR172C
YAR019C,YGR179C
YAR019C,YJR006W
YAR019C,YJR017C
YAR019C,YJR093C
YAR019C,YKL196C
YAR019C,YLL011W
YAR019C,YLR026C
YAR019C,YLR078C
YAR019C,YLR086W
YAR019C,YLR103C
YAR019C,YLR127C
YAR019C,YLR222C
YAR019C,YLR274W
YAR019C,YML023C
YAR019C,YMR200W
YAR019C,YMR240C
YAR019C,YMR296C
YAR019C,YNL062C
YAR019C,YNL102W
YAR019C,YNR011C
YAR019C,YNR035C
YAR019C,YOL135C
YAR019C,YOR122C
YAR019C,YOR149C
YAR019C,YPL128C
YAR019C,YPL228W
YAR019C,YPR181C
YAR007C,YBL020W
YAR019C,YBL020W
YBL020W,YBR193C
YBL020W,YCR052W
YBL020W,YDL014W
YBL020W,YDL017W
YBL020W,YDL097C
YBL020W,YDL108W
YBL020W,YDL126C
YBL020W,YDL147W
YBL020W,YDR002W
YBL020W,YDR016C
YBL020W,YDR044W
YBL020W,YDR091C
YBL020W,YDR113C
YBL020W,YDR170C
YBL020W,YDR228C
YBL020W,YDR288W
YBL020W,YDR311W
YBL020W,YDR362C
YBL020W,YDR404C
YBL020W,YDR498C
YBL020W,YER094C
YBL020W,YER125W
YBL020W,YFL034CB
YBL020W,YGL044C
YBL020W,YGL073W
YBL020W,YGL092W
YBL020W,YGL097W
YBL020W,YGL098W
YBL020W,YGL113W
YBL020W,YGR099W
YBL020W,YGR172C
YBL020W,YHR027C
YBL020W,YHR036W
YBL020W,YHR058C
YBL020W,YIL046W
YBL020W,YIL115C
YBL020W,YIL150C
YBL020W,YJL039C
YBL020W,YJL085W
YBL020W,YJR006W
YBL020W,YJR017C
YBL020W,YJR093C
YBL020W,YKL045W
YBL020W,YKL112W
YBL020W,YKR022C
YBL020W,YLL036C
YBL020W,YLR005W
YBL020W,YLR071C
YBL020W,YLR103C
YBL020W,YLR314C
YBL020W,YLR340W
YBL020W,YMR076C
YBL020W,YMR117C
YBL020W,YMR281W
YBL020W,YNL006W
YBL020W,YNL102W
YBL020W,YNR026C
YBL020W,YOL034W
YBL020W,YOL135C
YBL020W,YOR004W
YBL020W,YOR074C
YBL020W,YOR174W
YBL020W,YPL063W
YBL020W,YPL076W
YBL020W,YPL190C
YBL020W,YPR094W
YBL020W,YPR108W
YBL020W,YPR168W
YBL020W,YPR176C
YBL023C,YBR160W
YBL023C,YBR196C
YBL023C,YDL028C
YBL023C,YDR054C
YBL023C,YDR060W
YBL023C,YDR302W
YBL023C,YDR325W
YBL023C,YFL008W
YBL023C,YFL029C
YBL023C,YFR052W
YBL023C,YGL061C
YBL023C,YGL142C
YBL023C,YGL245W
YBL023C,YGR140W
YBL023C,YHR024C
YBL023C,YHR107C
YBL023C,YHR172W
YBL023C,YJR076C
YBL023C,YLR045C
YBL023C,YLR459W
YBL023C,YML023C
YBL023C,YMR200W
YBL023C,YMR236W
YBL023C,YMR277W
YBL023C,YNL118C
YBL023C,YNR035C
YBL023C,YOR174W
YBL023C,YOR181W
YBL023C,YOR254C
YBL023C,YOR259C
YBL023C,YPL020C
YBL023C,YPL128C
YBL023C,YPR016C
YBL026W,YBR236C
YBL026W,YBR254C
YBL026W,YCL059C
YBL026W,YDL003W
YBL026W,YDL102W
YBL026W,YDL105W
YBL026W,YDL145C
YBL026W,YDR013W
YBL026W,YDR050C
YBL026W,YDR064W
YBL026W,YDR082W
YBL026W,YDR168W
YBL026W,YDR212W
YBL026W,YDR238C
YBL026W,YDR246W
YBL026W,YDR288W
YBL026W,YDR404C
YBL026W,YDR498C
YBL026W,YDR510W
YBL026W,YDR527W
YBL026W,YER157W
YBL026W,YFL005W
YBL026W,YFL008W
YBL026W,YGL001C
YBL026W,YGL073W
YBL026W,YGL113W
YBL026W,YGL116W
YBL026W,YGL130W
YBL026W,YGL245W
YBL026W,YGL247W
YBL026W,YHR027C
YBL026W,YHR036W
YBL026W,YHR164C
YBL026W,YHR191C
YBL026W,YJR006W
YBL026W,YJR057W
YBL026W,YJR068W
YBL026W,YJR076C
YBL026W,YLL004W
YBL026W,YLL031C
