A,B
YAL002W,YPL165C
YAL002W,YPL184C
YAL002W,YPR012W
YAL002W,YPR024W
YAL002W,YPR046W
YAL002W,YPR051W
YAL002W,YPR068C
YAL002W,YPR070W
YAL002W,YPR121W
YAL002W,YPR148C
YAL002W,YPR170C
YAL007C,YBR266C
YAL007C,YCL057W
YAL007C,YCR021C
YAL007C,YCR044C
YAL007C,YDL065C
YAL007C,YDL232W
YAL007C,YDR143C
YAL007C,YDR146C
YAL007C,YDR242W
YAL007C,YDR244W
YAL007C,YDR265W
YAL007C,YDR271C
YAL007C,YDR329C
YAL007C,YDR348C
YAL007C,YDR541C
YAL007C,YER130C
YAL007C,YFR011C
YAL007C,YFR048W
YAL007C,YFR049W
YAL007C,YGL152C
YAL007C,YGL153W
YAL007C,YGL202W
YAL007C,YGL211W
YAL007C,YGL222C
YAL007C,YGL231C
YAL007C,YGR028W
YAL007C,YGR041W
YAL007C,YGR078C
YAL007C,YHR008C
YAL007C,YHR021C
YAL007C,YHR073W
YAL007C,YHR109W
YAL007C,YHR182W
YAL007C,YIL090W
YAL007C,YIL122W
YAL007C,YIL168W
YAL007C,YJL036W
YAL007C,YJL175W
YAL007C,YJL192C
YAL007C,YJL211C
YAL007C,YJR052W
YAL007C,YKL191W
YAL007C,YKR014C
YAL007C,YKR057W
YAL007C,YLL001W
YAL007C,YLL049W
YAL007C,YLR177W
YAL007C,YLR250W
YAL007C,YLR254C
YAL007C,YLR313C
YAL007C,YLR389C
YAL007C,YLR398C
YAL007C,YLR414C
YAL007C,YLR448W
YAL007C,YML041C
YAL007C,YML047C
YAL007C,YMR063W
YAL007C,YMR106C
YAL007C,YMR276W
YAL007C,YMR285C
YAL007C,YNL040W
YAL007C,YNL066W
YAL007C,YNL080C
YAL007C,YNL116W
YAL007C,YNL121C
YAL007C,YOL024W
YAL007C,YOL053W
YAL007C,YOL128C
YAL007C,YOR026W
YAL007C,YOR109W
YAL007C,YOR113W
YAL007C,YOR192C
YAL007C,YOR240W
YAL007C,YPL046C
YAL007C,YPL102C
YAL007C,YPL119C
YAL007C,YPL140C
YAL007C,YPL158C
YAL007C,YPR022C
YAL007C,YPR092W
YAL008W,YCL034W
YAL008W,YCR021C
YAL008W,YDL213C
YAL008W,YDR161W
YAL008W,YDR262W
YAL008W,YGR086C
