A,B
YAL038W,YDL055C
YAL038W,YDL066W
YAL038W,YDR148C
YAL038W,YDR335W
YAL038W,YER151C
YAL038W,YER171W
YAL038W,YFL045C
YAL038W,YFR049W
YAL038W,YHR128W
YAL038W,YHR169W
YAL038W,YIL128W
YAL038W,YJL074C
YAL038W,YJL101C
YAL038W,YKL029C
YAL038W,YLR153C
YAL038W,YLR180W
YAL038W,YOL098C
YAL038W,YOR136W
YAL038W,YOR160W
YAL038W,YPR010C
YAL041W,YBR200W
YAL041W,YDR012W
YAL041W,YER114C
YAL041W,YJL177W
YAL041W,YLR340W
YAL041W,YLR357W
YAL041W,YNL007C
YAL042W,YDL097C
YAL042W,YDL147W
YAL042W,YFR052W
YAL042W,YML067C
YAL042W,YML130C
YAL043C,YAL046C
YAL043C,YBL076C
YAL043C,YBL101C
YAL043C,YBR119W
YAL043C,YDL199C
YAL043C,YDR195W
YAL043C,YDR301W
YAL043C,YER133W
YAL043C,YGR156W
YAL043C,YJL033W
YAL043C,YJR093C
YAL043C,YKL018W
YAL043C,YKL059C
YAL043C,YKR002W
YAL043C,YLR115W
YAL043C,YLR277C
YAL043C,YLR303W
YAL043C,YMR061W
YAL043C,YNL222W
YAL043C,YNL317W
YAL043C,YOR179C
YAL043C,YPR107C
YAL044C,YLR239C
YAL047C,YDR179C
YAL047C,YHR172W
YAL047C,YLR179C
YAL047C,YNL126W
YAL047C,YNL209W
YAL047C,YNL224C
YAL048C,YJR009C
YAL048C,YOR284W
YAL051W,YCR087CA
YAL051W,YDR060W
YAL051W,YDR412W
YAL051W,YIL036W
YAL051W,YKL172W
YAL051W,YLR197W
YAL051W,YNL325C
YAL051W,YOR310C
YAL051W,YPL146C
YAL051W,YPR169W
YAL053W,YKL028W
YAL053W,YLR342W
YAL053W,YML072C
YAL053W,YOR153W
YAL059W,YBR115C
YAL059W,YDR395W
YAL059W,YER110C
YAL059W,YGL195W
YAL059W,YMR124W
YAL059W,YMR186W
YAL059W,YMR308C
YAL059W,YOL086C
YAL060W,YAL061W
YAL061W,YMR308C
YAL062W,YAR071W
YAL062W,YCR020WB
YAL062W,YGL070C
YAL062W,YIL033C
YAL062W,YOR362C
YAL062W,YPL160W
YAL067C,YNL162W
YAR002CA,YGL200C
YAR002CA,YGR132C
YAR002CA,YML012W
YAR002CA,YNL030W
YAR002W,YER110C
YAR002W,YLR335W
YAR002W,YLR347C
YAR002W,YNL189W
YAR003W,YBR175W
YAR003W,YDR069C
YAR003W,YDR469W
YAR003W,YHR119W
YAR003W,YJR113C
YAR003W,YKL018W
YAR003W,YLR015W
YAR003W,YPL138C
YAR007C,YBL002W
YAR007C,YBR089CA
YAR007C,YBR136W
YAR007C,YCR012W
YAR007C,YCR092C
YAR007C,YDL140C
YAR007C,YDL156W
YAR007C,YDR097C
YAR007C,YDR121W
YAR007C,YDR129C
YAR007C,YDR174W
YAR007C,YEL030W
YAR007C,YER095W
YAR007C,YFL014W
YAR007C,YFR013W
YAR007C,YHR164C
YAR007C,YIR002C
YAR007C,YJL115W
YAR007C,YJL173C
YAR007C,YLR347C
YAR007C,YLR429W
YAR007C,YML032C
YAR007C,YMR234W
YAR007C,YNL031C
YAR007C,YNL312W
YAR007C,YOL090W
YAR007C,YPR161C
YAR014C,YDL082W
YAR014C,YER133W
YAR014C,YER155C
YAR014C,YGR285C
YAR014C,YHR064C
YAR014C,YHR158C
YAR014C,YML131W
YAR014C,YMR116C
YAR015W,YLR291C
YAR018C,YGR285C
YAR018C,YHR064C
YAR018C,YMR116C
YAR019C,YDL220C
YAR019C,YGR173W
YAR042W,YAR042W
YAR042W,YBR079C
YAR042W,YBR143C
YAR042W,YDL019C
YAR042W,YDL040C
YAR042W,YER120W
YAR042W,YGR192C
YAR042W,YIL074C
YAR042W,YJR145C
YAR042W,YLR119W
YAR042W,YLR397C
YAR042W,YML069W
YAR042W,YOR096W
YAR042W,YOR361C
YAR042W,YPR080W
YAR071W,YBR093C
YAR071W,YCR038C
YAR071W,YFR055W
YAR071W,YGL245W
YBL002W,YBL003C
YBL002W,YBR009C
YBL002W,YBR010W
YBL002W,YBR060C
YBL002W,YBR245C
YBL002W,YCR043C
YBL002W,YDL095W
YBL002W,YDL156W
YBL002W,YDR044W
YBL002W,YDR075W
YBL002W,YDR121W
YBL002W,YDR224C
YBL002W,YDR496C
YBL002W,YER091C
YBL002W,YGL035C
YBL002W,YGL112C
YBL002W,YGL207W
YBL002W,YGL241W
YBL002W,YGR275W
YBL002W,YHR118C
YBL002W,YIL076W
YBL002W,YIL126W
YBL002W,YJR010CA
YBL002W,YKR001C
YBL002W,YKR048C
YBL002W,YLR133W
YBL002W,YLR320W
YBL002W,YLR385C
YBL002W,YLR455W
YBL002W,YML065W
YBL002W,YML069W
YBL002W,YMR044W
YBL002W,YMR072W
YBL002W,YMR075W
YBL002W,YMR091C
YBL002W,YNL030W
YBL002W,YNL088W
YBL002W,YNL201C
YBL002W,YNL261W
YBL002W,YNL262W
YBL002W,YOL006C
YBL002W,YOL012C
YBL002W,YOL054W
YBL002W,YOR116C
YBL002W,YOR207C
YBL002W,YOR304W
YBL002W,YPL001W
YBL002W,YPL082C
YBL002W,YPR010C
YBL002W,YPR161C
YBL002W,YPR162C
YBL002W,YPR175W
YBL002W,YPR190C
YBL003C,YBL046W
YBL003C,YBL052C
YBL003C,YBR009C
YBL003C,YBR010W
YBL003C,YBR049C
YBL003C,YBR060C
YBL003C,YBR245C
YBL003C,YBR247C
YBL003C,YCR028CA
YBL003C,YCR057C
YBL003C,YCR087CA
YBL003C,YDL002C
YBL003C,YDL014W
YBL003C,YDL019C
YBL003C,YDL051W
YBL003C,YDL070W
YBL003C,YDL095W
YBL003C,YDL105W
YBL003C,YDL208W
YBL003C,YDR044W
YBL003C,YDR052C
YBL003C,YDR075W
YBL003C,YDR083W
YBL003C,YDR174W
YBL003C,YDR207C
YBL003C,YDR224C
YBL003C,YDR225W
YBL003C,YDR303C
YBL003C,YDR463W
YBL003C,YEL012W
YBL003C,YEL018W
YBL003C,YER092W
YBL003C,YER116C
YBL003C,YER147C
YBL003C,YER165W
YBL003C,YFL013C
YBL003C,YFL024C
YBL003C,YFR013W
YBL003C,YGL035C
YBL003C,YGL207W
YBL003C,YGL227W
YBL003C,YGL241W
YBL003C,YGL252C
YBL003C,YGR250C
YBL003C,YHL024W
YBL003C,YHL034C
YBL003C,YHR090C
YBL003C,YHR099W
