geneA	geneB	complex name	complex size
YCR057C	YDR299W	90S preribosome	48
YCR057C	YDR324C	90S preribosome	48
YCR057C	YDR398W	90S preribosome	48
YCR057C	YDR449C	90S preribosome	48
YCR057C	YEL055C	90S preribosome	48
YCR057C	YER082C	90S preribosome	48
YCR057C	YER127W	90S preribosome	48
YCR057C	YGL171W	90S preribosome	48
YCR057C	YGR090W	90S preribosome	48
YCR057C	YGR128C	90S preribosome	48
YCR057C	YGR145W	90S preribosome	48
YCR057C	YHR148W	90S preribosome	48
YCR057C	YHR196W	90S preribosome	48
YCR057C	YJL069C	90S preribosome	48
YCR057C	YJL109C	90S preribosome	48
YCR057C	YJR002W	90S preribosome	48
YCR057C	YJR145C	90S preribosome	48
YCR057C	YKR060W	90S preribosome	48
YCR057C	YLL011W	90S preribosome	48
YCR057C	YLR003C	90S preribosome	48
YCR057C	YLR129W	90S preribosome	48
YCR057C	YLR186W	90S preribosome	48
YCR057C	YLR197W	90S preribosome	48
YCR057C	YLR222C	90S preribosome	48
YCR057C	YLR409C	90S preribosome	48
YCR057C	YMR093W	90S preribosome	48
YCR057C	YMR128W	90S preribosome	48
YCR057C	YNL075W	90S preribosome	48
YCR057C	YNL132W	90S preribosome	48
YCR057C	YOL010W	90S preribosome	48
YCR057C	YOR078W	90S preribosome	48
YCR057C	YOR096W	90S preribosome	48
YCR057C	YOR145C	90S preribosome	48
YCR057C	YOR310C	90S preribosome	48
YCR057C	YPL012W	90S preribosome	48
YCR057C	YPL126W	90S preribosome	48
YCR057C	YPL217C	90S preribosome	48
YCR057C	YPL266W	90S preribosome	48
YCR057C	YPR112C	90S preribosome	48
YCR057C	YPR137W	90S preribosome	48
YCR057C	YPR144C	90S preribosome	48
YDL014W	YDL148C	90S preribosome	48
YDL014W	YDR064W	90S preribosome	48
YDL014W	YDR299W	90S preribosome	48
YDL014W	YDR324C	90S preribosome	48
YDL014W	YDR398W	90S preribosome	48
YDL014W	YDR449C	90S preribosome	48
YDL014W	YEL055C	90S preribosome	48
YDL014W	YER082C	90S preribosome	48
YDL014W	YER127W	90S preribosome	48
YDL014W	YGL171W	90S preribosome	48
YDL014W	YGR090W	90S preribosome	48
YDL014W	YGR128C	90S preribosome	48
YDL014W	YGR145W	90S preribosome	48
YDL014W	YHR148W	90S preribosome	48
YDL014W	YHR196W	90S preribosome	48
YDL014W	YJL069C	90S preribosome	48
YDL014W	YJL109C	90S preribosome	48
YDL014W	YJR002W	90S preribosome	48
YDL014W	YJR145C	90S preribosome	48
YDL014W	YKR060W	90S preribosome	48
YDL014W	YLL011W	90S preribosome	48
YDL014W	YLR003C	90S preribosome	48
YDL014W	YLR129W	90S preribosome	48
YDL014W	YLR186W	90S preribosome	48
YDL014W	YLR197W	90S preribosome	48
YDL014W	YLR222C	90S preribosome	48
YDL014W	YLR409C	90S preribosome	48
YDL014W	YMR093W	90S preribosome	48
YDL014W	YMR128W	90S preribosome	48
YDL014W	YNL075W	90S preribosome	48
YDL014W	YNL132W	90S preribosome	48
YDL014W	YOL010W	90S preribosome	48
YDL014W	YOR078W	90S preribosome	48
YDL014W	YOR096W	90S preribosome	48
YDL014W	YOR145C	90S preribosome	48
YDL014W	YOR310C	90S preribosome	48
YDL014W	YPL012W	90S preribosome	48
YDL014W	YPL126W	90S preribosome	48
YDL014W	YPL217C	90S preribosome	48
YDL014W	YPL266W	90S preribosome	48
YDL014W	YPR112C	90S preribosome	48
YDL014W	YPR137W	90S preribosome	48
YDL014W	YPR144C	90S preribosome	48
YDL148C	YDR064W	90S preribosome	48
YDL148C	YDR299W	90S preribosome	48
YDL148C	YDR324C	90S preribosome	48
YDL148C	YDR398W	90S preribosome	48
YDL148C	YDR449C	90S preribosome	48
YDL148C	YEL055C	90S preribosome	48
YDL148C	YER082C	90S preribosome	48
YDL148C	YER127W	90S preribosome	48
YDL148C	YGL171W	90S preribosome	48
YDL148C	YGR090W	90S preribosome	48
YDL148C	YGR128C	90S preribosome	48
YDL148C	YGR145W	90S preribosome	48
YDL148C	YHR148W	90S preribosome	48
YDL148C	YHR196W	90S preribosome	48
YDL148C	YJL069C	90S preribosome	48
YDL148C	YJL109C	90S preribosome	48
YDL148C	YJR002W	90S preribosome	48
YDL148C	YJR145C	90S preribosome	48
YDL148C	YKR060W	90S preribosome	48
YDL148C	YLL011W	90S preribosome	48
YDL148C	YLR003C	90S preribosome	48
YDL148C	YLR129W	90S preribosome	48
YDL148C	YLR186W	90S preribosome	48
YDL148C	YLR197W	90S preribosome	48
YDL148C	YLR222C	90S preribosome	48
YDL148C	YLR409C	90S preribosome	48
YDL148C	YMR093W	90S preribosome	48
YDL148C	YMR128W	90S preribosome	48
YDL148C	YNL075W	90S preribosome	48
YDL148C	YNL132W	90S preribosome	48
YDL148C	YOL010W	90S preribosome	48
YDL148C	YOR078W	90S preribosome	48
YDL148C	YOR096W	90S preribosome	48
YDL148C	YOR145C	90S preribosome	48
YDL148C	YOR310C	90S preribosome	48
YDL148C	YPL012W	90S preribosome	48
YDL148C	YPL126W	90S preribosome	48
YDL148C	YPL217C	90S preribosome	48
YDL148C	YPL266W	90S preribosome	48
YDL148C	YPR112C	90S preribosome	48
YDL148C	YPR137W	90S preribosome	48
YDL148C	YPR144C	90S preribosome	48
YDR064W	YDR299W	90S preribosome	48
YDR064W	YDR324C	90S preribosome	48
YDR064W	YDR398W	90S preribosome	48
YDR064W	YDR449C	90S preribosome	48
YDR064W	YEL055C	90S preribosome	48
YDR064W	YER082C	90S preribosome	48
YDR064W	YER127W	90S preribosome	48
YDR064W	YGL171W	90S preribosome	48
YDR064W	YGR090W	90S preribosome	48
YDR064W	YGR128C	90S preribosome	48
YDR064W	YGR145W	90S preribosome	48
YDR064W	YHR148W	90S preribosome	48
YDR064W	YHR196W	90S preribosome	48
YDR064W	YJL069C	90S preribosome	48
YDR064W	YJL109C	90S preribosome	48
YDR064W	YJR002W	90S preribosome	48
YDR064W	YJR145C	90S preribosome	48
YDR064W	YKR060W	90S preribosome	48
YDR064W	YLL011W	90S preribosome	48
YDR064W	YLR003C	90S preribosome	48
YDR064W	YLR129W	90S preribosome	48
YDR064W	YLR186W	90S preribosome	48
YDR064W	YLR197W	90S preribosome	48
YDR064W	YLR222C	90S preribosome	48
YDR064W	YLR409C	90S preribosome	48
YDR064W	YMR093W	90S preribosome	48
YDR064W	YMR128W	90S preribosome	48
YDR064W	YNL075W	90S preribosome	48
YDR064W	YNL132W	90S preribosome	48
YDR064W	YOL010W	90S preribosome	48
YDR064W	YOR078W	90S preribosome	48
YDR064W	YOR096W	90S preribosome	48
YDR064W	YOR145C	90S preribosome	48
YDR064W	YOR310C	90S preribosome	48
YDR064W	YPL012W	90S preribosome	48
YDR064W	YPL126W	90S preribosome	48
YDR064W	YPL217C	90S preribosome	48
YDR064W	YPL266W	90S preribosome	48
YDR064W	YPR112C	90S preribosome	48
YDR064W	YPR137W	90S preribosome	48
YDR064W	YPR144C	90S preribosome	48
YDR299W	YDR324C	90S preribosome	48
YDR299W	YDR398W	90S preribosome	48
YDR299W	YDR449C	90S preribosome	48
YDR299W	YEL055C	90S preribosome	48
YDR299W	YER082C	90S preribosome	48
YDR299W	YER127W	90S preribosome	48
YDR299W	YGL171W	90S preribosome	48
YDR299W	YGR090W	90S preribosome	48
YDR299W	YGR128C	90S preribosome	48
YDR299W	YGR145W	90S preribosome	48
YDR299W	YHR148W	90S preribosome	48
YDR299W	YHR196W	90S preribosome	48
YDR299W	YJL069C	90S preribosome	48
YDR299W	YJL109C	90S preribosome	48
YDR299W	YJR002W	90S preribosome	48
YDR299W	YJR145C	90S preribosome	48
YDR299W	YKR060W	90S preribosome	48
YDR299W	YLL011W	90S preribosome	48
YDR299W	YLR003C	90S preribosome	48
YDR299W	YLR129W	90S preribosome	48
YDR299W	YLR186W	90S preribosome	48
YDR299W	YLR197W	90S preribosome	48
YDR299W	YLR222C	90S preribosome	48
YDR299W	YLR409C	90S preribosome	48
YDR299W	YMR093W	90S preribosome	48
YDR299W	YMR128W	90S preribosome	48
YDR299W	YNL075W	90S preribosome	48
YDR299W	YNL132W	90S preribosome	48
YDR299W	YOL010W	90S preribosome	48
YDR299W	YOR078W	90S preribosome	48
YDR299W	YOR096W	90S preribosome	48
YDR299W	YOR145C	90S preribosome	48
YDR299W	YOR310C	90S preribosome	48
YDR299W	YPL012W	90S preribosome	48
YDR299W	YPL126W	90S preribosome	48
YDR299W	YPL217C	90S preribosome	48
YDR299W	YPL266W	90S preribosome	48
YDR299W	YPR112C	90S preribosome	48
YDR299W	YPR137W	90S preribosome	48
YDR299W	YPR144C	90S preribosome	48
YDR324C	YDR398W	90S preribosome	48
YDR324C	YDR449C	90S preribosome	48
YDR324C	YEL055C	90S preribosome	48
YDR324C	YER082C	90S preribosome	48
YDR324C	YER127W	90S preribosome	48
YDR324C	YGL171W	90S preribosome	48
YDR324C	YGR090W	90S preribosome	48
YDR324C	YGR128C	90S preribosome	48
YDR324C	YGR145W	90S preribosome	48
YDR324C	YHR148W	90S preribosome	48
YDR324C	YHR196W	90S preribosome	48
YDR324C	YJL069C	90S preribosome	48
YDR324C	YJL109C	90S preribosome	48
YDR324C	YJR002W	90S preribosome	48
YDR324C	YJR145C	90S preribosome	48
YDR324C	YKR060W	90S preribosome	48
YDR324C	YLL011W	90S preribosome	48
YDR324C	YLR003C	90S preribosome	48
YDR324C	YLR129W	90S preribosome	48
YDR324C	YLR186W	90S preribosome	48
YDR324C	YLR197W	90S preribosome	48
YDR324C	YLR222C	90S preribosome	48
YDR324C	YLR409C	90S preribosome	48
YDR324C	YMR093W	90S preribosome	48
YDR324C	YMR128W	90S preribosome	48
YDR324C	YNL075W	90S preribosome	48
YDR324C	YNL132W	90S preribosome	48
YDR324C	YOL010W	90S preribosome	48
YDR324C	YOR078W	90S preribosome	48
YDR324C	YOR096W	90S preribosome	48
YDR324C	YOR145C	90S preribosome	48
YDR324C	YOR310C	90S preribosome	48
YDR324C	YPL012W	90S preribosome	48
YDR324C	YPL126W	90S preribosome	48
YDR324C	YPL217C	90S preribosome	48
YDR324C	YPL266W	90S preribosome	48
YDR324C	YPR112C	90S preribosome	48
YDR324C	YPR137W	90S preribosome	48
YDR324C	YPR144C	90S preribosome	48
YDR398W	YDR449C	90S preribosome	48
YDR398W	YEL055C	90S preribosome	48
YDR398W	YER082C	90S preribosome	48
YDR398W	YER127W	90S preribosome	48
YDR398W	YGL171W	90S preribosome	48
YDR398W	YGR090W	90S preribosome	48
YDR398W	YGR128C	90S preribosome	48
YDR398W	YGR145W	90S preribosome	48
YDR398W	YHR148W	90S preribosome	48
YDR398W	YHR196W	90S preribosome	48
YDR398W	YJL069C	90S preribosome	48
YDR398W	YJL109C	90S preribosome	48
YDR398W	YJR002W	90S preribosome	48
YDR398W	YJR145C	90S preribosome	48
YDR398W	YKR060W	90S preribosome	48
YDR398W	YLL011W	90S preribosome	48
YDR398W	YLR003C	90S preribosome	48
YDR398W	YLR129W	90S preribosome	48
YDR398W	YLR186W	90S preribosome	48
YDR398W	YLR197W	90S preribosome	48
YDR398W	YLR222C	90S preribosome	48
YDR398W	YLR409C	90S preribosome	48
YDR398W	YMR093W	90S preribosome	48
YDR398W	YMR128W	90S preribosome	48
YDR398W	YNL075W	90S preribosome	48
YDR398W	YNL132W	90S preribosome	48
YDR398W	YOL010W	90S preribosome	48
YDR398W	YOR078W	90S preribosome	48
YDR398W	YOR096W	90S preribosome	48
YDR398W	YOR145C	90S preribosome	48
YDR398W	YOR310C	90S preribosome	48
YDR398W	YPL012W	90S preribosome	48
YDR398W	YPL126W	90S preribosome	48
YDR398W	YPL217C	90S preribosome	48
YDR398W	YPL266W	90S preribosome	48
YDR398W	YPR112C	90S preribosome	48
YDR398W	YPR137W	90S preribosome	48
YDR398W	YPR144C	90S preribosome	48
YDR449C	YEL055C	90S preribosome	48
YDR449C	YER082C	90S preribosome	48
YDR449C	YER127W	90S preribosome	48
YDR449C	YGL171W	90S preribosome	48
YDR449C	YGR090W	90S preribosome	48
YDR449C	YGR128C	90S preribosome	48
YDR449C	YGR145W	90S preribosome	48
YDR449C	YHR148W	90S preribosome	48
YDR449C	YHR196W	90S preribosome	48
YDR449C	YJL069C	90S preribosome	48
YDR449C	YJL109C	90S preribosome	48
YDR449C	YJR002W	90S preribosome	48
YDR449C	YJR145C	90S preribosome	48
YDR449C	YKR060W	90S preribosome	48
YDR449C	YLL011W	90S preribosome	48
YDR449C	YLR003C	90S preribosome	48
YDR449C	YLR129W	90S preribosome	48
YDR449C	YLR186W	90S preribosome	48
YDR449C	YLR197W	90S preribosome	48
YDR449C	YLR222C	90S preribosome	48
YDR449C	YLR409C	90S preribosome	48
YDR449C	YMR093W	90S preribosome	48
YDR449C	YMR128W	90S preribosome	48
YDR449C	YNL075W	90S preribosome	48
YDR449C	YNL132W	90S preribosome	48
YDR449C	YOL010W	90S preribosome	48
YDR449C	YOR078W	90S preribosome	48
YDR449C	YOR096W	90S preribosome	48
YDR449C	YOR145C	90S preribosome	48
YDR449C	YOR310C	90S preribosome	48
YDR449C	YPL012W	90S preribosome	48
YDR449C	YPL126W	90S preribosome	48
YDR449C	YPL217C	90S preribosome	48
YDR449C	YPL266W	90S preribosome	48
YDR449C	YPR112C	90S preribosome	48
YDR449C	YPR137W	90S preribosome	48
YDR449C	YPR144C	90S preribosome	48
YEL055C	YER082C	90S preribosome	48
YEL055C	YER127W	90S preribosome	48
YEL055C	YGL171W	90S preribosome	48
YEL055C	YGR090W	90S preribosome	48
YEL055C	YGR128C	90S preribosome	48
YEL055C	YGR145W	90S preribosome	48
YEL055C	YHR148W	90S preribosome	48
YEL055C	YHR196W	90S preribosome	48
YEL055C	YJL069C	90S preribosome	48
YEL055C	YJL109C	90S preribosome	48
YEL055C	YJR002W	90S preribosome	48
YEL055C	YJR145C	90S preribosome	48
YEL055C	YKR060W	90S preribosome	48
YEL055C	YLL011W	90S preribosome	48
YEL055C	YLR003C	90S preribosome	48
YEL055C	YLR129W	90S preribosome	48
YEL055C	YLR186W	90S preribosome	48
YEL055C	YLR197W	90S preribosome	48
YEL055C	YLR222C	90S preribosome	48
YEL055C	YLR409C	90S preribosome	48
YEL055C	YMR093W	90S preribosome	48
YEL055C	YMR128W	90S preribosome	48
YEL055C	YNL075W	90S preribosome	48
YEL055C	YNL132W	90S preribosome	48
YEL055C	YOL010W	90S preribosome	48
YEL055C	YOR078W	90S preribosome	48
YEL055C	YOR096W	90S preribosome	48
YEL055C	YOR145C	90S preribosome	48
YEL055C	YOR310C	90S preribosome	48
YEL055C	YPL012W	90S preribosome	48
YEL055C	YPL126W	90S preribosome	48
YEL055C	YPL217C	90S preribosome	48
YEL055C	YPL266W	90S preribosome	48
YEL055C	YPR112C	90S preribosome	48
YEL055C	YPR137W	90S preribosome	48
YEL055C	YPR144C	90S preribosome	48
YER082C	YER127W	90S preribosome	48
YER082C	YGL171W	90S preribosome	48
YER082C	YGR090W	90S preribosome	48
YER082C	YGR128C	90S preribosome	48
YER082C	YGR145W	90S preribosome	48
YER082C	YHR148W	90S preribosome	48
YER082C	YHR196W	90S preribosome	48
YER082C	YJL069C	90S preribosome	48
YER082C	YJL109C	90S preribosome	48
YER082C	YJR002W	90S preribosome	48
YER082C	YJR145C	90S preribosome	48
YER082C	YKR060W	90S preribosome	48
YER082C	YLL011W	90S preribosome	48
YER082C	YLR003C	90S preribosome	48
YER082C	YLR129W	90S preribosome	48
YER082C	YLR186W	90S preribosome	48
YER082C	YLR197W	90S preribosome	48
YER082C	YLR222C	90S preribosome	48
YER082C	YLR409C	90S preribosome	48
YER082C	YMR093W	90S preribosome	48
YER082C	YMR128W	90S preribosome	48
YER082C	YNL075W	90S preribosome	48
YER082C	YNL132W	90S preribosome	48
YER082C	YOL010W	90S preribosome	48
YER082C	YOR078W	90S preribosome	48
YER082C	YOR096W	90S preribosome	48
YER082C	YOR145C	90S preribosome	48
YER082C	YOR310C	90S preribosome	48
YER082C	YPL012W	90S preribosome	48
YER082C	YPL126W	90S preribosome	48
YER082C	YPL217C	90S preribosome	48
YER082C	YPL266W	90S preribosome	48
YER082C	YPR112C	90S preribosome	48
YER082C	YPR137W	90S preribosome	48
YER082C	YPR144C	90S preribosome	48
YER127W	YGL171W	90S preribosome	48
YER127W	YGR090W	90S preribosome	48
YER127W	YGR128C	90S preribosome	48
YER127W	YGR145W	90S preribosome	48
YER127W	YHR148W	90S preribosome	48
YER127W	YHR196W	90S preribosome	48
YER127W	YJL069C	90S preribosome	48
YER127W	YJL109C	90S preribosome	48
YER127W	YJR002W	90S preribosome	48
YER127W	YJR145C	90S preribosome	48
YER127W	YKR060W	90S preribosome	48
YER127W	YLL011W	90S preribosome	48
YER127W	YLR003C	90S preribosome	48
YER127W	YLR129W	90S preribosome	48
YER127W	YLR186W	90S preribosome	48
YER127W	YLR197W	90S preribosome	48
YER127W	YLR222C	90S preribosome	48
YER127W	YLR409C	90S preribosome	48
YER127W	YMR093W	90S preribosome	48
YER127W	YMR128W	90S preribosome	48
YER127W	YNL075W	90S preribosome	48
YER127W	YNL132W	90S preribosome	48
YER127W	YOL010W	90S preribosome	48
YER127W	YOR078W	90S preribosome	48
YER127W	YOR096W	90S preribosome	48
YER127W	YOR145C	90S preribosome	48
YER127W	YOR310C	90S preribosome	48
YER127W	YPL012W	90S preribosome	48
YER127W	YPL126W	90S preribosome	48
YER127W	YPL217C	90S preribosome	48
YER127W	YPL266W	90S preribosome	48
YER127W	YPR112C	90S preribosome	48
YER127W	YPR137W	90S preribosome	48
YER127W	YPR144C	90S preribosome	48
YGL171W	YGR090W	90S preribosome	48
YGL171W	YGR128C	90S preribosome	48
YGL171W	YGR145W	90S preribosome	48
YGL171W	YHR148W	90S preribosome	48
YGL171W	YHR196W	90S preribosome	48
YGL171W	YJL069C	90S preribosome	48
YGL171W	YJL109C	90S preribosome	48
YGL171W	YJR002W	90S preribosome	48
YGL171W	YJR145C	90S preribosome	48
YGL171W	YKR060W	90S preribosome	48
YGL171W	YLL011W	90S preribosome	48
YGL171W	YLR003C	90S preribosome	48
YGL171W	YLR129W	90S preribosome	48
YGL171W	YLR186W	90S preribosome	48
YGL171W	YLR197W	90S preribosome	48
YGL171W	YLR222C	90S preribosome	48
YGL171W	YLR409C	90S preribosome	48
YGL171W	YMR093W	90S preribosome	48
YGL171W	YMR128W	90S preribosome	48
YGL171W	YNL075W	90S preribosome	48
YGL171W	YNL132W	90S preribosome	48
YGL171W	YOL010W	90S preribosome	48
YGL171W	YOR078W	90S preribosome	48
YGL171W	YOR096W	90S preribosome	48
YGL171W	YOR145C	90S preribosome	48
YGL171W	YOR310C	90S preribosome	48
YGL171W	YPL012W	90S preribosome	48
YGL171W	YPL126W	90S preribosome	48
YGL171W	YPL217C	90S preribosome	48
YGL171W	YPL266W	90S preribosome	48
YGL171W	YPR112C	90S preribosome	48
YGL171W	YPR137W	90S preribosome	48
YGL171W	YPR144C	90S preribosome	48
YGR090W	YGR128C	90S preribosome	48
YGR090W	YGR145W	90S preribosome	48
YGR090W	YHR148W	90S preribosome	48
YGR090W	YHR196W	90S preribosome	48
YGR090W	YJL069C	90S preribosome	48
YGR090W	YJL109C	90S preribosome	48
YGR090W	YJR002W	90S preribosome	48
YGR090W	YJR145C	90S preribosome	48
YGR090W	YKR060W	90S preribosome	48
YGR090W	YLL011W	90S preribosome	48
YGR090W	YLR003C	90S preribosome	48
YGR090W	YLR129W	90S preribosome	48
YGR090W	YLR186W	90S preribosome	48
YGR090W	YLR197W	90S preribosome	48
YGR090W	YLR222C	90S preribosome	48
YGR090W	YLR409C	90S preribosome	48
YGR090W	YMR093W	90S preribosome	48
YGR090W	YMR128W	90S preribosome	48
YGR090W	YNL075W	90S preribosome	48
YGR090W	YNL132W	90S preribosome	48
YGR090W	YOL010W	90S preribosome	48
YGR090W	YOR078W	90S preribosome	48
YGR090W	YOR096W	90S preribosome	48
YGR090W	YOR145C	90S preribosome	48
YGR090W	YOR310C	90S preribosome	48
YGR090W	YPL012W	90S preribosome	48
YGR090W	YPL126W	90S preribosome	48
YGR090W	YPL217C	90S preribosome	48
YGR090W	YPL266W	90S preribosome	48
YGR090W	YPR112C	90S preribosome	48
YGR090W	YPR137W	90S preribosome	48
YGR090W	YPR144C	90S preribosome	48
YGR128C	YGR145W	90S preribosome	48
YGR128C	YHR148W	90S preribosome	48
YGR128C	YHR196W	90S preribosome	48
YGR128C	YJL069C	90S preribosome	48
YGR128C	YJL109C	90S preribosome	48
YGR128C	YJR002W	90S preribosome	48
YGR128C	YJR145C	90S preribosome	48
YGR128C	YKR060W	90S preribosome	48
YGR128C	YLL011W	90S preribosome	48
YGR128C	YLR003C	90S preribosome	48
YGR128C	YLR129W	90S preribosome	48
YGR128C	YLR186W	90S preribosome	48
YGR128C	YLR197W	90S preribosome	48
YGR128C	YLR222C	90S preribosome	48
YGR128C	YLR409C	90S preribosome	48
YGR128C	YMR093W	90S preribosome	48
YGR128C	YMR128W	90S preribosome	48
YGR128C	YNL075W	90S preribosome	48
YGR128C	YNL132W	90S preribosome	48
YGR128C	YOL010W	90S preribosome	48
YGR128C	YOR078W	90S preribosome	48
YGR128C	YOR096W	90S preribosome	48
YGR128C	YOR145C	90S preribosome	48
YGR128C	YOR310C	90S preribosome	48
YGR128C	YPL012W	90S preribosome	48
YGR128C	YPL126W	90S preribosome	48
YGR128C	YPL217C	90S preribosome	48
