	orf_name_a	gene_name_a	orf_name_b	gene_name_b	Zone	GI_PCC	CS_PCC	GE_PCC
262	YBR061C	TRM7	YMR055C	BUB2	D	0.01876	NA	0.2812
263	YBR068C	BAP2	YEL001C	IRC22	D	-0.00945	0.002166092	NA
264	YBR068C	BAP2	YPR170W-B		D	NA	NA	NA
265	YBR072C-A		YIR016W		D	NA	NA	NA
271	YBR077C	SLM4	YGR201C		C	NA	0.044496445	NA
272	YBR077C	SLM4	YKR007W	MEH1	A	0.43964	0.835715831	NA
282	YBR082C	UBC4	YER068W	MOT2	B	NA	NA	0.1499
283	YBR083W	TEC1	YDL013W	SLX5	C	-0.02021	NA	0.1368
284	YBR083W	TEC1	YGR048W	UFD1	C	-0.00171	NA	0.0792
286	YBR087W	RFC5	YJR068W	RFC2	A	0.35472	NA	0.3567
288	YBR088C	POL30	YER131W	RPS26B	C	-0.00769	NA	0.3063
289	YBR088C	POL30	YJR043C	POL32	C	0.07325	NA	0.6627
290	YBR088C	POL30	YMR137C	PSO2	D	0.01683	NA	-0.0541
293	YBR101C	FES1	YDR311W	TFB1	C	-0.03242	NA	0.3568
295	YBR103W	SIF2	YBR122C	MRPL36	B	-0.01206	NA	0.3388
296	YBR103W	SIF2	YBR282W	MRPL27	B	-0.03292	NA	0.2445
300	YBR103W	SIF2	YJL122W	ALB1	C	-0.02215	-0.112062564	-0.008
301	YBR103W	SIF2	YJR141W	IPA1	C	0.12606	NA	0.3337
302	YBR103W	SIF2	YLR407W		C	0.01755	-0.140779953	NA
305	YBR107C	IML3	YDR254W	CHL4	A	0.56022	0.36770095	NA
313	YBR109C	CMD1	YCL063W	VAC17	C	-0.09261	NA	-0.105
314	YBR109C	CMD1	YGL106W	MLC1	A	NA	NA	0.5777
316	YBR111C	YSA1	YOR368W	RAD17	C	0.00783	NA	0.0254
318	YBR111W-A	SUS1	YML051W	GAL80	C	-0.00773	NA	0.0058
319	YBR114W	RAD16	YJL036W	SNX4	B	-0.04005	0.074475298	0.4828
320	YBR114W	RAD16	YML095C	RAD10	B	0.03799	0.131983681	0.3411
321	YBR114W	RAD16	YPR083W	MDM36	C	0.03652	0.155910234	0.1689
322	YBR122C	MRPL36	YGL115W	SNF4	B	0.05235	NA	0.3143
324	YBR123C	TFC1	YKL078W	DHR2	C	4.00E-04	NA	0.1522
326	YBR123C	TFC1	YPL225W		C	0.04054	NA	0.1816
327	YBR125C	PTC4	YCL033C	MXR2	D	0.02613	0.322019975	0.0528
328	YBR125C	PTC4	YDR071C	PAA1	D	0.06955	0.219597958	0.2769
332	YBR126C	TPS1	YPL152W	RRD2	B	0.01243	NA	0.4126
334	YBR126W-A	MEO1	YPR174C		D	NA	NA	NA
335	YBR127C	VMA2	YGR117C		C	NA	NA	0.3688
336	YBR128C	ATG14	YPL120W	VPS30	A	0.05594	-0.087383407	0.5565
338	YBR130C	SHE3	YHR107C	CDC12	B	0.03677	NA	0.4003
340	YBR131W	CCZ1	YKR036C	CAF4	B	0.01329	-0.048448609	NA
341	YBR131W	CCZ1	YOR034C	AKR2	C	-0.00274	NA	NA
356	YBR141C	BMT2	YLR061W	RPL22A	C	0.02889	NA	NA
357	YBR146W	MRPS9	YGR158C	MTR3	B	0.01097	NA	0.2373
360	YBR152W	SPP381	YGR075C	PRP38	A	0.22696	NA	NA
