orf_name_a,orf_name_b,Uetz-screen,Ito-core,CCSB-YI1,YeRI
YBL043W,YOR115C,False,False,False,True
YBL043W,YOR304CA,False,False,False,True
YBL045C,YPR191W,False,True,False,False
YBL046W,YNL201C,False,True,False,False
YBL047C,YCR030C,False,False,True,False
YBL047C,YGR241C,False,False,True,False
YBL049W,YOR275C,False,False,False,True
YBL051C,YIL151C,True,False,False,False
YBL051C,YKR096W,True,False,False,False
YBL056W,YDR071C,False,True,False,False
YBL056W,YML088W,False,False,False,True
YBL057C,YMR276W,False,False,True,True
YBL057C,YPR174C,False,False,False,True
YBL058W,YDL190C,False,False,True,False
YBL058W,YFL044C,False,False,True,False
YBL058W,YLR291C,False,False,True,False
YBL058W,YNL155W,False,False,True,False
YBL060W,YOR094W,False,False,True,False
YBL066C,YPR040W,False,False,False,True
YBL068W,YKL181W,False,False,False,True
YBL068W,YOL061W,False,True,False,False
YBL069W,YDR100W,False,False,True,False
YBL078C,YBR217W,False,False,False,True
YBL078C,YHR171W,True,False,True,False
YBL078C,YNL223W,False,False,True,True
YBL078C,YNR007C,False,True,True,False
YBL078C,YOL083W,False,False,True,False
YBL081W,YBR165W,False,False,False,True
YBL081W,YDL167C,False,True,False,False
YBL081W,YDR142C,False,False,False,True
YBL081W,YGL181W,False,False,False,True
YBL081W,YLR291C,False,False,False,True
YBL081W,YML064C,False,False,False,True
YBL081W,YPL174C,False,False,False,True
YBL082C,YCR094W,False,False,False,True
YBL090W,YLR288C,False,False,False,True
YBL090W,YML088W,False,False,False,True
YBL091C,YGR142W,False,False,True,False
YBL091CA,YDR479C,False,False,True,False
YBL091CA,YIR038C,False,False,True,False
YBL091CA,YML029W,False,False,True,False
YBL091CA,YPL094C,False,False,True,False
YBL093C,YML051W,False,False,True,False
YBL097W,YDR439W,False,False,False,True
YBL098W,YML130C,False,False,False,True
YBL098W,YNL100W,False,False,False,True
YBL101C,YNL225C,False,False,True,False
YBL102W,YGR068C,True,False,False,False
YBL102W,YLR453C,False,True,False,False
YBL102W,YOR036W,False,True,False,False
YBL105C,YML109W,True,False,False,False
YBL107C,YLR433C,False,False,False,True
YBR002C,YKR021W,False,False,False,True
YBR002C,YML064C,False,False,False,True
YBR006W,YBR006W,False,False,True,False
YBR006W,YDR382W,True,False,False,False
YBR006W,YKL023W,True,False,False,False
YBR007C,YOR368W,False,False,False,True
YBR019C,YBR019C,False,False,True,False
YBR026C,YDL043C,False,False,False,True
YBR029C,YIR033W,False,False,True,False
YBR029C,YIR038C,False,False,True,False
YBR030W,YGL129C,False,False,False,True
YBR030W,YLR244C,False,False,True,False
YBR034C,YGR165W,False,True,False,False
YBR034C,YIL061C,False,True,False,False
YBR036C,YNL125C,False,False,False,True
YBR036C,YPR159W,False,False,False,True
YBR038W,YPR106W,False,True,False,False
YBR040W,YCL040W,True,False,False,False
YBR041W,YDL153C,False,True,False,False
YBR042C,YER081W,False,True,False,False
YBR045C,YLR288C,False,False,False,True
YBR046C,YMR213W,False,False,False,True
YBR047W,YPL077C,False,False,False,True
YBR052C,YDR032C,True,False,True,False
YBR052C,YIL103W,False,False,False,True
YBR054W,YML088W,False,False,False,True
YBR055C,YLR446W,False,True,False,False
YBR055C,YPR082C,True,False,True,False
YBR056W,YFR007W,False,True,False,False
YBR056WA,YJR128W,False,False,False,True
YBR057C,YCL055W,True,False,False,False
YBR057C,YDR206W,True,False,False,False
YBR057C,YER018C,False,False,True,False
YBR057C,YGL036W,False,False,True,False
YBR057C,YGL192W,True,False,False,False
YBR057C,YHL004W,False,False,True,False
YBR057C,YJL025W,False,False,True,False
YBR057C,YJL058C,False,False,True,False
YBR057C,YJL085W,False,False,True,False
YBR057C,YPL135W,False,False,True,False
YBR058CA,YDR062W,False,False,False,True
YBR058CA,YGR038W,False,False,False,True
YBR058CA,YLR350W,False,False,False,True
YBR059C,YBR059C,False,True,False,False
YBR059C,YER144C,True,False,False,False
YBR059C,YGL213C,False,True,False,False
YBR059C,YML014W,False,True,False,False
YBR060C,YDL111C,False,False,False,True
YBR060C,YEL056W,False,False,False,True
YBR060C,YLL004W,False,False,False,True
YBR060C,YLR368W,False,False,False,True
YBR060C,YPR120C,False,False,False,True
YBR061C,YMR055C,False,False,False,True
YBR068C,YEL001C,False,False,False,True
YBR068C,YPR170WB,False,False,False,True
YBR072CA,YIR016W,False,False,False,True
YBR072W,YBR072W,False,False,True,False
YBR072W,YBR261C,False,False,True,False
YBR072W,YDL239C,False,True,False,False
YBR072W,YML064C,False,True,False,False
YBR072W,YNL189W,False,True,False,False
YBR077C,YGR201C,False,False,True,True
YBR077C,YKR007W,True,True,False,True
YBR077C,YMR004W,True,False,False,False
YBR080C,YBR080C,False,False,True,False
YBR080C,YBR261C,False,False,True,False
YBR080C,YIL046W,False,False,True,False
YBR080C,YJL030W,False,False,True,False
YBR080C,YLR291C,False,False,True,False
YBR080C,YNL189W,False,False,True,False
YBR080C,YNL288W,False,False,True,False
YBR080C,YPL070W,False,False,True,False
YBR082C,YER068W,False,False,False,True
YBR083W,YDL013W,False,False,False,True
YBR083W,YGR048W,False,False,False,True
YBR087W,YDR229W,False,False,True,False
YBR087W,YJR068W,False,False,True,True
YBR088C,YDR510W,False,False,True,False
YBR088C,YER131W,False,False,False,True
YBR088C,YJR043C,False,False,False,True
YBR088C,YMR137C,False,False,False,True
YBR094W,YLR264W,True,False,False,False
YBR094W,YOL149W,False,True,True,False
YBR101C,YDR311W,False,False,False,True
YBR102C,YLR423C,False,False,True,False
YBR103W,YBR122C,False,False,False,True
YBR103W,YBR282W,False,False,False,True
YBR103W,YGR262C,False,False,True,False
YBR103W,YHL004W,False,False,True,False
YBR103W,YIL112W,True,False,False,False
YBR103W,YJL122W,False,False,False,True
YBR103W,YJR141W,False,True,False,True
YBR103W,YLR407W,False,False,False,True
YBR103W,YMR061W,False,False,True,False
YBR103W,YPL173W,False,False,True,False
YBR107C,YDR254W,False,False,False,True
YBR107C,YDR421W,False,False,True,False
YBR107C,YDR489W,False,False,True,False
YBR107C,YGL071W,False,False,True,False
YBR107C,YHR113W,False,False,True,False
YBR108W,YCR009C,True,False,True,False
YBR108W,YDR388W,False,True,False,False
YBR108W,YGR136W,False,True,False,False
YBR109C,YCL063W,False,False,False,True
YBR109C,YGL106W,False,False,True,True
YBR111C,YLR245C,False,False,True,False
YBR111C,YOR368W,False,False,False,True
YBR111C,YPL070W,False,False,True,False
YBR111WA,YML051W,False,False,False,True
