orf_name_a	gene_name_a	orf_name_b	gene_name_b	Uetz-screen	Ito-core	CCSB-YI1	YeRI	Zone	GI_PCC	CS_PCC	GE_PCC
YAR018C	KIN3	YAR018C	KIN3	False	True	False	False	D			
YAR027W	UIP3	YAR027W	UIP3	False	True	True	False	D			
YAR027W	UIP3	YAR028W		False	False	True	False	D	-0.03082	-0.2365154484842428	
YAR027W	UIP3	YBR042C	CST26	False	False	True	False	D	0.02097	0.06226315495189481	
YAR027W	UIP3	YDR100W	TVP15	False	False	True	False	D	-0.00347	0.036046179220083206	
YAR027W	UIP3	YDR411C	DFM1	False	False	True	False	D	-0.02909	0.14926954670821016	
YAR027W	UIP3	YEL042W	GDA1	False	False	True	False	D		-0.14389312538929402	
YAR027W	UIP3	YGL104C	VPS73	False	False	True	False	D	0.0009	0.2929087701348921	
YAR027W	UIP3	YGL225W	VRG4	False	False	True	False	D	0.02148		
YAR027W	UIP3	YGR284C	ERV29	False	False	True	False	D	0.06892	0.0020043463276944646	
YAR027W	UIP3	YJL097W	PHS1	False	False	True	False	D	0.03476		
YAR027W	UIP3	YJL117W	PHO86	False	False	True	False	D	0.03509	-0.035745125487121	
YAR027W	UIP3	YJR013W	GPI14	False	False	True	False	D	0.03535		
YAR027W	UIP3	YJR044C	VPS55	False	False	True	False	D	-0.04463	-0.12742125011641986	
YAR027W	UIP3	YLR350W	ORM2	False	False	True	False	D	0.02877	0.02562789021620495	
YAR027W	UIP3	YML055W	SPC2	False	False	True	False	C	0.01867	0.18590284135587246	
YAR027W	UIP3	YMR071C	TVP18	False	False	True	False	D	-0.07501	-0.0002883487993599638	
YAR027W	UIP3	YNL219C	ALG9	False	False	True	False	D		-0.17188327985847707	
YAR027W	UIP3	YNL263C	YIF1	False	False	True	False	D			
YAR027W	UIP3	YNL315C	ATP11	False	False	True	False	D	0.02756		
YAR027W	UIP3	YOL129W	VPS68	False	False	True	False	D	-0.03796	-0.17044062545743524	
YAR027W	UIP3	YPL020C	ULP1	False	False	True	False	C	-0.02832		
YAR027W	UIP3	YPR113W	PIS1	False	False	True	False	D			
YAR027W	UIP3	YPR159C-A		False	False	True	False	D	0.00451		
YAR027W	UIP3	YPR159W	KRE6	False	False	False	True	D			
YAR028W		YAR028W		False	False	True	False	D			
YAR028W		YJL097W	PHS1	False	False	True	False	D	-0.02634		0.2006
YAR031W	PRM9	YBR217W	ATG12	True	False	False	False	C	-0.01576	-0.15845532427395315	
YAR031W	PRM9	YCR030C	SYP1	True	False	False	False	D	-0.01446	0.06361035401917575	
YAR033W	MST28	YAR033W	MST28	False	True	True	False	D			
YAR033W	MST28	YER032W	FIR1	False	False	False	True	D	0.09712		
YAR033W	MST28	YGL051W	MST27	True	False	True	False	D			
YAR033W	MST28	YPR113W	PIS1	False	False	True	False	D			
YAR035W	YAT1	YER024W	YAT2	False	False	True	False	D		0.12200208723458493	0.6083
YAR035W	YAT1	YJR136C	TTI2	False	False	False	True	D			0.0563
YAR066W		YDR074W	TPS2	True	False	False	False	C	-0.02971		-0.044
YBL001C	ECM15	YBL001C	ECM15	False	False	True	False	D			
YBL006C	LDB7	YDR489W	SLD5	False	True	False	False	B	0.03813		
YBL006C	LDB7	YJR011C		False	False	False	True	C	-0.07741	-0.1645580878619897	
YBL007C	SLA1	YHR016C	YSC84	True	False	False	False	C	0.00092		0.3718
YBL009W	ALK2	YGL060W	YBP2	False	False	False	True	D	0.01328	-0.14291988095965252	0.4011
YBL010C		YHL004W	MRP4	False	False	False	True	C			
YBL010C		YJR011C		False	False	False	True	D	-0.00593	-0.29742280179702246	
YBL010C		YKR022C	NTR2	True	True	False	False	C	0.02982		
YBL010C		YML064C	TEM1	False	False	False	True	D	-0.0092		
YBL014C	RRN6	YJL025W	RRN7	True	False	True	False	A			
YBL016W	FUS3	YDR480W	DIG2	False	True	False	False	B			
YBL016W	FUS3	YPL049C	DIG1	False	True	False	False	B			
YBL020W	RFT1	YDL088C	ASM4	False	False	False	True	C	-0.0408		0.3954
YBL020W	RFT1	YDR479C	PEX29	False	False	True	False	D	-0.02435		0.0454
YBL020W	RFT1	YIR038C	GTT1	False	False	True	False	D	0.04409		-0.1849
YBL021C	HAP3	YGL237C	HAP2	True	True	False	False	A	0.32661	0.5061947558041378	0.357
YBL021C	HAP3	YOR358W	HAP5	True	True	False	False	A	0.17914	0.4069095918913943	0.3086
YBL023C	MCM2	YDR122W	KIN1	False	False	True	False	C	-0.03405		0.064
YBL023C	MCM2	YDR473C	PRP3	False	False	True	False	B	-0.00442		0.185
YBL023C	MCM2	YLR096W	KIN2	False	False	True	False	C	-0.0292		0.4662
YBL023C	MCM2	YLR291C	GCD7	False	False	True	False	B	0.03325		0.2875
YBL023C	MCM2	YMR314W	PRE5	False	False	True	False	B			0.1254
YBL023C	MCM2	YPL144W	POC4	False	False	True	False	C	-0.05233		
YBL023C	MCM2	YPR019W	MCM4	False	False	True	False	A	0.23107		0.6858
YBL025W	RRN10	YFR050C	PRE4	False	False	False	True	B			0.4582
YBL025W	RRN10	YMR270C	RRN9	True	False	True	True	A			0.3647
YBL026W	LSM2	YCR077C	PAT1	False	True	False	False	A	0.17951		
YBL026W	LSM2	YDR378C	LSM6	False	False	False	True	A	0.42822		
