"orf_name_a" "gene_name_a" "orf_name_b" "gene_name_b" "Zone" "GI_PCC" "CS_PCC" "GE_PCC"
"437" "YBR217W" "ATG12" "YPL149W" "ATG5" "A" 0.11157 0.0403663735008578 0.3489
"441" "YBR223C" "TDP1" "YDR510W" "SMT3" "D" 0.05531 NA -0.0506
"445" "YBR228W" "SLX1" "YLR135W" "SLX4" "D" 0.37592 0.377412670345659 0.471
"464" "YBR239C" "ERT1" "YPL133C" "RDS2" "D" -0.00725 -0.0077575837404585 0.353
"473" "YBR246W" "RRT2" "YDR520C" "URC2" "D" -0.04023 0.134194826920735 0.287
"481" "YBR254C" "TRS20" "YDR472W" "TRS31" "A" 0.08285 NA 0.3
"482" "YBR254C" "TRS20" "YKR068C" "BET3" "A" 0.44058 NA 0.5035
"486" "YBR255W" "MTC4" "YIL106W" "MOB1" "D" -0.00776 NA 0.2117
"494" "YBR260C" "RGD1" "YGR196C" "FYV8" "D" 0.45809 0.485390435738569 0.4147
"496" "YBR260C" "RGD1" "YMR032W" "HOF1" "D" NA NA 0.1362
"541" "YBR270C" "BIT2" "YDR259C" "YAP6" "D" -0.00074 0.164133081554557 NA
"542" "YBR270C" "BIT2" "YER093C" "TSC11" "C" 0.01692 NA NA
"546" "YBR270C" "BIT2" "YIL105C" "SLM1" "C" 0.00121 0.0631350078048932 NA
"548" "YBR270C" "BIT2" "YKR026C" "GCN3" "C" 0.0173 -0.0891812319922131 NA
"549" "YBR270C" "BIT2" "YLR423C" "ATG17" "C" 0.06481 NA NA
"551" "YBR270C" "BIT2" "YNL047C" "SLM2" "C" -0.01925 0.158490098788003 NA
"552" "YBR270C" "BIT2" "YPL124W" "SPC29" "C" 0.02499 NA NA
"553" "YBR270C" "BIT2" "YPL255W" "BBP1" "C" NA NA NA
"566" "YBR281C" "DUG2" "YDL153C" "SAS10" "C" 0.0118 NA 0.2133
"577" "YBR284W" "" "YDL238C" "GUD1" "D" -0.03037 -0.107388498112699 0.2157
