,geneA,geneB
989,YGR035C,YLR288C
990,YGR038W,YPR159W
991,YGR040W,YJR030C
992,YGR048W,YGR048W
993,YGR048W,YGR249W
994,YGR048W,YHR107C
995,YGR048W,YHR113W
996,YGR048W,YJL110C
997,YGR048W,YJR056C
998,YGR048W,YKR034W
999,YGR048W,YLR328W
1000,YGR048W,YLR345W
1001,YGR048W,YML064C
1002,YGR048W,YMR052W
1003,YGR048W,YMR144W
1004,YGR048W,YMR153W
1005,YGR048W,YMR233W
1006,YGR048W,YNL042W
1007,YGR048W,YNL155W
1008,YGR048W,YNR012W
1009,YGR048W,YOR284W
1010,YGR048W,YOR285W
1011,YGR048W,YOR368W
1012,YGR048W,YPL049C
1013,YGR048W,YPL192C
1014,YGR048W,YPL280W
1015,YGR048W,YPR182W
1016,YGR049W,YLR356W
1017,YGR052W,YLR183C
1018,YGR052W,YOR158W
1019,YGR052W,YPL173W
1020,YGR057C,YHR067W
1021,YGR057C,YIL076W
1022,YGR057C,YJR046W
1023,YGR057C,YLR291C
1024,YGR057C,YLR376C
1025,YGR057C,YML064C
1026,YGR057C,YML095C
1027,YGR057C,YOR180C
1028,YGR068C,YLR145W
1029,YGR074W,YLR275W
1030,YGR074W,YOR194C
1031,YGR076C,YPL173W
1032,YGR078C,YGR286C
1033,YGR078C,YLR200W
1034,YGR078C,YLR291C
1035,YGR078C,YML094W
1036,YGR078C,YPL188W
1037,YGR082W,YOR158W
1038,YGR099W,YOR158W
1039,YGR102C,YLR288C
1040,YGR102C,YMR293C
1041,YGR104C,YHR041C
1042,YGR105W,YJL163C
1043,YGR108W,YKL049C
1044,YGR113W,YKL138CA
1045,YGR113W,YKR037C
1046,YGR113W,YOR158W
1047,YGR119C,YKL057C
1048,YGR119C,YLR288C
1049,YGR122W,YMR077C
1050,YGR128C,YNL086W
1051,YGR128C,YPL126W
1052,YGR129W,YJR003C
1053,YGR129W,YMR213W
1054,YGR133W,YGR235C
1055,YGR133W,YNL100W
1056,YGR142W,YJR128W
1057,YGR142W,YLR351C
1058,YGR142W,YMR075W
1059,YGR142W,YMR213W
1060,YGR142W,YNL055C
1061,YGR142W,YOR217W
1062,YGR143W,YOL002C
1063,YGR146C,YLR291C
1064,YGR146C,YML051W
1065,YGR146C,YOR368W
1066,YGR146C,YPL070W
1067,YGR148C,YKR048C
1068,YGR153W,YML088W
1069,YGR158C,YGR195W
1070,YGR158C,YIL092W
1071,YGR158C,YJR046W
1072,YGR158C,YKL204W
1073,YGR158C,YLR345W
1074,YGR158C,YNL232W
1075,YGR158C,YOR158W
1076,YGR158C,YOR259C
1077,YGR158C,YPL173W
1078,YGR161WC,YLR335W
1079,YGR168C,YGR168C
1080,YGR168C,YGR177C
1081,YGR168C,YGR183C
1082,YGR168C,YIL065C
1083,YGR168C,YJL136C
1084,YGR168C,YJL147C
1085,YGR168C,YJL185C
1086,YGR168C,YJL205C
1087,YGR168C,YKL018CA
1088,YGR168C,YKR057W
1089,YGR168C,YMR115W
1090,YGR168C,YNL093W
1091,YGR168C,YNL131W
1092,YGR168C,YOL147C
1093,YGR168C,YOR089C
1094,YGR168C,YOR368W
1095,YGR168C,YPL112C
1096,YGR168C,YPR128C
1097,YGR178C,YHR121W
1098,YGR178C,YIL105WA
1099,YGR179C,YJL036W
1100,YGR181W,YHR033W
1101,YGR193C,YLR288C
1102,YGR195W,YHR069C
1103,YGR195W,YML064C
1104,YGR195W,YPR045C
1105,YGR198W,YKL204W
1106,YGR198W,YLR264W
1107,YGR198W,YLR281C
1108,YGR205W,YMR315W
1109,YGR207C,YPR004C
1110,YGR210C,YNL072W
1111,YGR214W,YKR057W
1112,YGR214W,YOR158W
1113,YGR215W,YJL124C
1114,YGR222W,YHL003C
1115,YGR222W,YPR159W
1116,YGR235C,YIL065C
1117,YGR235C,YJL112W
1118,YGR235C,YJL136C
1119,YGR235C,YJL185C
1120,YGR235C,YKL018CA
1121,YGR235C,YML030W
1122,YGR235C,YML051W
1123,YGR235C,YML064C
1124,YGR235C,YNL189W
1125,YGR235C,YOL147C
1126,YGR235C,YOR089C
1127,YGR235C,YOR368W
1128,YGR235C,YPL112C
1129,YGR235C,YPR128C
1130,YGR238C,YNL182C
1131,YGR239C,YIL160C
1132,YGR239C,YLR291C
1133,YGR239C,YML051W
1134,YGR239C,YMR267W
1135,YGR249W,YML088W
1136,YGR250C,YJR128W
1137,YGR261C,YNL164C
1138,YGR262C,YKR038C
1139,YGR262C,YNL153C
1140,YGR268C,YHL002W
1141,YGR268C,YJR128W
1142,YGR268C,YLL039C
1143,YGR268C,YML097C
1144,YGR268C,YMR137C
1145,YGR268C,YPL002C
1146,YGR280C,YKR092C
1147,YGR280C,YLL004W
1148,YGR280C,YLR197W
1149,YGR280C,YPL222W
1150,YGR286C,YNL189W
1151,YHL004W,YHR033W
1152,YHL004W,YIL103W
1153,YHL004W,YIR010W
1154,YHL004W,YLR102C
1155,YHL004W,YLR385C
1156,YHL004W,YML088W
1157,YHL004W,YML121W
1158,YHL004W,YMR232W
1159,YHL004W,YNL086W
1160,YHL004W,YOR158W
1161,YHL004W,YPL173W
1162,YHL006C,YIL132C
1163,YHL006C,YIL152W
1164,YHL006C,YJR141W
1165,YHL006C,YKL183W
1166,YHL006C,YKR083C
1167,YHL006C,YML064C
1168,YHL010C,YHL010C
1169,YHL012W,YML051W
1170,YHL021C,YOR210W
1171,YHL027W,YOR275C
1172,YHL029C,YNL099C
1173,YHL048W,YNL125C
1174,YHR008C,YHR008C
1175,YHR008C,YJR011C
1176,YHR008C,YLR291C
1177,YHR008C,YMR239C
1178,YHR008C,YMR308C
1179,YHR008C,YNL189W
1180,YHR008C,YOR185C
1181,YHR008C,YPL070W
1182,YHR015W,YOR157C
1183,YHR022C,YML046W
1184,YHR025W,YNL078W
1185,YHR033W,YHR033W
1186,YHR033W,YML064C
1187,YHR033W,YNL189W
1188,YHR033W,YOR368W
1189,YHR033W,YPL018W
1190,YHR034C,YOR279C
1191,YHR036W,YMR153W
1192,YHR036W,YNR026C
1193,YHR050W,YIL089W
1194,YHR051W,YIL111W
1195,YHR051W,YMR153W
1196,YHR057C,YMR214W
1197,YHR057C,YNL232W
1198,YHR060W,YKL119C
1199,YHR067W,YKL192C
1200,YHR067W,YML064C
1201,YHR072WA,YLR175W
1202,YHR075C,YJR003C
1203,YHR076W,YPR159W
1204,YHR089C,YLR175W
1205,YHR090C,YNL086W
1206,YHR105W,YLR183C
1207,YHR109W,YKL029C
1208,YHR113W,YNL078W
1209,YHR115C,YLR215C
1210,YHR123W,YJL163C
1211,YHR123W,YPR159W
1212,YHR129C,YLR102C
1213,YHR134W,YOR285W
1214,YHR141C,YML088W
1215,YHR149C,YMR153W
1216,YHR159W,YML064C
1217,YHR159W,YNL189W
1218,YHR161C,YNL020C
1219,YHR166C,YHR169W
1220,YHR166C,YJL036W
1221,YHR169W,YLR052W
1222,YHR169W,YNR054C
1223,YHR170W,YLR291C
1224,YHR170W,YML051W
1225,YHR170W,YPL070W
1226,YHR173C,YMR214W
1227,YHR181W,YOR181W
1228,YHR192W,YPR159W
1229,YIL001W,YOR158W
1230,YIL009CA,YPL024W
1231,YIL018W,YKL075C
1232,YIL035C,YOR061W
1233,YIL041W,YJL044C
1234,YIL043C,YML088W
1235,YIL044C,YNR023W
1236,YIL046W,YML082W
1237,YIL050W,YPL031C
1238,YIL052C,YPL204W
1239,YIL057C,YLR345W
1240,YIL057C,YNL036W
1241,YIL062C,YML095C
1242,YIL062C,YNR035C
1243,YIL065C,YKR036C
1244,YIL065C,YLR356W
1245,YIL065C,YML030W
1246,YIL065C,YML130C
1247,YIL065C,YMR026C
1248,YIL065C,YNL100W
1249,YIL079C,YPL070W
1250,YIL089W,YJR152W
1251,YIL089W,YNR019W
1252,YIL089W,YPR063C
1253,YIL092W,YLR423C
1254,YIL092W,YML064C
1255,YIL092W,YNL193W
1256,YIL097W,YKR022C
1257,YIL097W,YOR117W
1258,YIL097W,YOR304CA
1259,YIL103W,YJR097W
1260,YIL103W,YLR347C
1261,YIL103W,YLR368W
1262,YIL103W,YML095C
1263,YIL103W,YPL070W
1264,YIL105C,YMR068W
1265,YIL105WA,YPL049C
1266,YIL106W,YNL302C
1267,YIL122W,YJL030W
1268,YIL127C,YKR092C
1269,YIL127C,YML051W
1270,YIL132C,YLR376C
1271,YIL148W,YKR021W
1272,YIL148W,YML097C
1273,YIL148W,YMR276W
1274,YIL148W,YNL116W
1275,YIL148W,YPL096W
1276,YIL150C,YJR003C
1277,YIL150C,YKR019C
1278,YIL152W,YLR048W
1279,YIL152W,YLR288C
1280,YIL152W,YLR368W
1281,YIL152W,YLR376C
1282,YIL152W,YML051W
1283,YIL152W,YML064C
1284,YIL161W,YNL023C
1285,YIL164C,YLR291C
1286,YIR010W,YKR027W
1287,YIR010W,YLR347C
1288,YIR011C,YLR291C
1289,YIR015W,YLR291C
1290,YIR015W,YLR345W
1291,YIR015W,YML064C
1292,YIR015W,YPL070W
1293,YIR016W,YMR100W
1294,YIR017C,YLR315W
1295,YIR017C,YML064C
1296,YIR017C,YNL182C
1297,YIR017C,YNL189W
1298,YIR017C,YOL069W
1299,YIR017C,YPR083W
1300,YIR018W,YLR291C
1301,YIR018W,YML064C
1302,YIR018W,YNL189W
1303,YIR018W,YOR039W
1304,YIR018W,YOR185C
1305,YIR018W,YOR368W
1306,YIR022W,YJR010CA
1307,YIR022W,YJR015W
1308,YIR022W,YLR066W
1309,YIR022W,YML055W
1310,YIR024C,YLR315W
1311,YIR024C,YOL069W
1312,YIR041W,YPL070W
1313,YJL004C,YNL044W
1314,YJL004C,YPL191C
1315,YJL006C,YML112W
1316,YJL011C,YKL144C
1317,YJL012C,YPR178W
1318,YJL023C,YOR229W
1319,YJL024C,YPL195W
1320,YJL030W,YPL070W
1321,YJL031C,YJL036W
1322,YJL031C,YJR046W
1323,YJL035C,YLR316C
1324,YJL036W,YJR011C
1325,YJL036W,YKL012W
1326,YJL036W,YKL049C
1327,YJL036W,YKL138CA
1328,YJL036W,YLR031W
1329,YJL036W,YLR099WA
1330,YJL036W,YLR423C
1331,YJL036W,YML064C
1332,YJL036W,YNL086W
1333,YJL036W,YNL189W
1334,YJL036W,YOR132W
1335,YJL036W,YOR158W
1336,YJL036W,YPR083W
1337,YJL044C,YOR089C
1338,YJL048C,YJL048C
1339,YJL048C,YKL130C
1340,YJL048C,YLR291C
1341,YJL048C,YML031W
1342,YJL048C,YMR153W
1343,YJL057C,YMR153W
1344,YJL057C,YOR233W
1345,YJL057C,YPR174C
1346,YJL061W,YLR313C
1347,YJL065C,YNR029C
1348,YJL085W,YNL086W
1349,YJL097W,YJL163C
1350,YJL097W,YJR015W
1351,YJL112W,YLR356W
1352,YJL112W,YML130C
1353,YJL115W,YNL031C
1354,YJL117W,YNR039C
1355,YJL124C,YPL188W
1356,YJL125C,YNL062C
1357,YJL136C,YLR048W
1358,YJL136C,YML024W
1359,YJL136C,YNL100W
1360,YJL136C,YNL214W
1361,YJL136C,YOL147C
1362,YJL136C,YPR128C
1363,YJL140W,YNL116W
1364,YJL141C,YMR231W
1365,YJL148W,YMR269W
1366,YJL155C,YLR345W
1367,YJL163C,YLL014W
1368,YJL163C,YLR268W
1369,YJL163C,YMR298W
1370,YJL163C,YNL146W
1371,YJL163C,YNL234W
1372,YJL163C,YPL192C
1373,YJL173C,YNL312W
1374,YJL177W,YKR048C
1375,YJL177W,YMR139W
1376,YJL179W,YPL018W
1377,YJL184W,YKR038C
1378,YJL184W,YKR095WA
1379,YJL184W,YOR117W
1380,YJL185C,YNL100W
1381,YJL187C,YOL029C
1382,YJL205C,YNL100W
1383,YJR002W,YOR158W
1384,YJR003C,YJR046W
1385,YJR003C,YJR048W
1386,YJR003C,YJR050W
1387,YJR003C,YMR213W
1388,YJR003C,YMR244CA
1389,YJR003C,YPL151C
1390,YJR010CA,YJR015W
1391,YJR010CA,YJR126C
1392,YJR010CA,YKL119C
1393,YJR010CA,YLR066W
1394,YJR010CA,YLR268W
1395,YJR010CA,YLR433C
1396,YJR010CA,YML055W
1397,YJR010CA,YPR159CA
1398,YJR011C,YLR052W
1399,YJR011C,YLR102C
1400,YJR011C,YML003W
1401,YJR011C,YNL055C
1402,YJR011C,YOR158W
1403,YJR011C,YPL002C
1404,YJR011C,YPL173W
1405,YJR011C,YPR107C
1406,YJR015W,YMR298W
1407,YJR015W,YNL111C
1408,YJR015W,YNL234W
1409,YJR015W,YPL096CA
1410,YJR015W,YPL218W
1411,YJR015W,YPR170WB
1412,YJR015W,YPR192W
1413,YJR044C,YOL129W
1414,YJR046W,YNL086W
1415,YJR046W,YPL166W
1416,YJR050W,YJR050W
1417,YJR050W,YLR048W
1418,YJR050W,YLR117C
1419,YJR050W,YLR291C
1420,YJR051W,YLR297W
1421,YJR052W,YMR201C
1422,YJR062C,YKL109W
1423,YJR065C,YNR035C
1424,YJR067C,YPL271W
1425,YJR068W,YMR213W
1426,YJR068W,YNL290W
1427,YJR073C,YPR159W
1428,YJR080C,YML130C
1429,YJR084W,YPR045C
1430,YJR102C,YMR077C
1431,YJR102C,YPL002C
1432,YJR102C,YPL065W
1433,YJR112W,YLR313C
1434,YJR112W,YNL086W
1435,YJR126C,YML055W
1436,YJR128W,YLR291C
1437,YJR128W,YNL189W
1438,YJR128W,YPL070W
1439,YJR135C,YLR381W
1440,YJR136C,YPR118W
1441,YJR152W,YLL014W
1442,YJR152W,YML132W
1443,YKL012W,YLR119W
1444,YKL012W,YOR368W
1445,YKL012W,YPR083W
1446,YKL013C,YNR035C
1447,YKL018CA,YLR356W
1448,YKL029C,YLR347C
1449,YKL029C,YOR368W
1450,YKL049C,YOL054W
1451,YKL053CA,YLR288C
1452,YKL058W,YLR291C
1453,YKL058W,YOR194C
1454,YKL059C,YMR032W
1455,YKL075C,YOL059W
1456,YKL078W,YLR291C
1457,YKL078W,YOR250C
1458,YKL095W,YLR396C
1459,YKL095W,YMR213W
1460,YKL099C,YOL054W
1461,YKL108W,YNL193W
1462,YKL108W,YPR120C
1463,YKL109W,YNL116W
1464,YKL134C,YMR184W
1465,YKL138CA,YKR037C
1466,YKL138CA,YLR031W
1467,YKL138CA,YNL086W
1468,YKL155C,YPR178W
1469,YKL159C,YLR433C
1470,YKL161C,YNL053W
1471,YKL164C,YLR291C
1472,YKL164C,YML064C
1473,YKL164C,YNL189W
1474,YKL184W,YML130C
1475,YKL192C,YLR239C
1476,YKL192C,YPL148C
1477,YKL204W,YPL152W
1478,YKL216W,YNL189W
1479,YKR004C,YPR176C
1480,YKR014C,YNL100W
1481,YKR017C,YPL018W
1482,YKR019C,YML064C
1483,YKR019C,YPL070W
1484,YKR020W,YKR022C
1485,YKR021W,YLL039C
1486,YKR022C,YLR368W
1487,YKR022C,YMR239C
1488,YKR022C,YNL107W
1489,YKR022C,YPR083W
1490,YKR027W,YMR310C
1491,YKR035WA,YKR035WA
1492,YKR035WA,YLR291C
1493,YKR035WA,YML064C
1494,YKR037C,YLR423C
1495,YKR039W,YML132W
1496,YKR057W,YLR048W
1497,YKR057W,YML024W
1498,YKR057W,YNL214W
1499,YKR057W,YPR128C
1500,YKR063C,YLL035W
1501,YKR071C,YLL029W
1502,YKR071C,YPR048W
1503,YKR072C,YML016C
1504,YKR083C,YLR313C
1505,YKR092C,YLR197W
1506,YKR092C,YMR233W
1507,YLL006WA,YML088W
1508,YLL007C,YLR291C
1509,YLL007C,YMR168C
1510,YLL007C,YOR380W
1511,YLL009C,YMR239C
1512,YLL018CA,YML051W
1513,YLL027W,YLR048W
1514,YLL027W,YLR368W
1515,YLL027W,YML064C
1516,YLL027W,YMR308C
1517,YLL027W,YPR178W
1518,YLL029W,YMR239C
1519,YLL029W,YNL189W
1520,YLL029W,YOR368W
1521,YLL049W,YLR423C
1522,YLL049W,YNL086W
1523,YLL053C,YML088W
1524,YLR018C,YMR153W
1525,YLR018C,YNR039C
1526,YLR021W,YPL144W
1527,YLR026C,YPR159W
1528,YLR031W,YLR445W
1529,YLR031W,YNL086W
1530,YLR031W,YOR158W
1531,YLR033W,YPL065W
1532,YLR035C,YPL164C
1533,YLR038C,YLR291C
1534,YLR048W,YML024W
1535,YLR048W,YOR158W
1536,YLR048W,YOR313C
1537,YLR048W,YPL173W
1538,YLR048W,YPL178W
1539,YLR050C,YNL125C
1540,YLR050C,YPR159W
1541,YLR050C,YPR174C
1542,YLR052W,YML064C
1543,YLR052W,YMR055C
1544,YLR065C,YPR159W
1545,YLR082C,YLR313C
1546,YLR085C,YML041C
1547,YLR088W,YPR159W
1548,YLR097C,YOR133W
1549,YLR099C,YOR304CA
1550,YLR102C,YLR291C
1551,YLR116W,YML046W
1552,YLR117C,YMR163C
1553,YLR117C,YOL036W
1554,YLR119W,YLR119W
1555,YLR119W,YLR291C
1556,YLR119W,YMR077C
1557,YLR119W,YNL075W
1558,YLR119W,YNR006W
1559,YLR119W,YPL065W
1560,YLR119W,YPL222W
1561,YLR119W,YPR083W
1562,YLR132C,YPL188W
1563,YLR148W,YMR231W
1564,YLR154C,YNL072W
1565,YLR165C,YLR288C
1566,YLR167W,YMR276W
1567,YLR175W,YNL124W
1568,YLR183C,YNL099C
1569,YLR183C,YNL193W
1570,YLR183C,YOR061W
1571,YLR183C,YPL204W
1572,YLR197W,YLR197W
1573,YLR197W,YMR269W
1574,YLR197W,YNR004W
1575,YLR200W,YML094W
1576,YLR201C,YML110C
1577,YLR203C,YPL065W
1578,YLR204W,YMR269W
1579,YLR213C,YLR288C
1580,YLR226W,YPL070W
1581,YLR227C,YPL070W
1582,YLR233C,YOR287C
1583,YLR234W,YPL024W
1584,YLR240W,YLR240W
1585,YLR240W,YPL100W
1586,YLR243W,YMR158W
1587,YLR254C,YNL189W
1588,YLR254C,YOR269W
1589,YLR264W,YLR291C
1590,YLR264W,YPL222W
1591,YLR267W,YNL189W
1592,YLR267W,YOR375C
1593,YLR267W,YPL151C
1594,YLR268W,YNR039C
1595,YLR268W,YOL044W
1596,YLR274W,YNL075W
1597,YLR274W,YPL262W
1598,YLR275W,YOR159C
1599,YLR275W,YPR182W
1600,YLR288C,YML024W
1601,YLR288C,YMR068W
1602,YLR288C,YMR193W
1603,YLR288C,YNL067WB
1604,YLR288C,YNL135C
1605,YLR288C,YOR368W
1606,YLR288C,YPL223C
1607,YLR288C,YPR018W
1608,YLR288C,YPR067W
1609,YLR291C,YML015C
1610,YLR291C,YMR055C
1611,YLR291C,YMR267W
1612,YLR291C,YNL036W
1613,YLR291C,YNL055C
1614,YLR291C,YNL075W
1615,YLR291C,YNL334C
1616,YLR291C,YOR072WB
1617,YLR291C,YPL002C
1618,YLR291C,YPL018W
1619,YLR291C,YPL055C
1620,YLR291C,YPL148C
1621,YLR292C,YPL070W
1622,YLR313C,YOL069W
1623,YLR313C,YPL077C
1624,YLR315W,YLR433C
1625,YLR315W,YNL086W
1626,YLR315W,YPL002C
1627,YLR335W,YMR239C
1628,YLR346C,YLR356W
1629,YLR346C,YML088W
1630,YLR347C,YMR023C
1631,YLR347C,YPL059W
1632,YLR347C,YPL173W
1633,YLR347C,YPL188W
1634,YLR356W,YML064C
1635,YLR356W,YML130C
1636,YLR356W,YNL204C
1637,YLR356W,YNL315C
1638,YLR356W,YNR022C
1639,YLR356W,YOL026C
1640,YLR356W,YPL135W
1641,YLR356W,YPR020W
1642,YLR368W,YMR017W
1643,YLR368W,YMR068W
1644,YLR368W,YMR299C
1645,YLR368W,YNL204C
1646,YLR368W,YOL111C
1647,YLR368W,YOR057W
1648,YLR368W,YPL018W
1649,YLR368W,YPL173W
1650,YLR368W,YPR178W
1651,YLR385C,YLR417W
1652,YLR385C,YML064C
1653,YLR405W,YPL108W
1654,YLR407W,YOR061W
1655,YLR417W,YMR077C
1656,YLR423C,YPL077C
1657,YLR423C,YPL166W
1658,YLR433C,YMR073C
1659,YLR433C,YOR157C
1660,YLR433C,YPL065W
1661,YLR438CA,YPR178W
1662,YLR439W,YPL173W
1663,YLR440C,YLR452C
1664,YLR441C,YML088W
1665,YML011C,YOR157C
1666,YML014W,YNR046W
1667,YML015C,YML098W
1668,YML016C,YMR271C
1669,YML016C,YMR311C
1670,YML016C,YOR054C
1671,YML031W,YMR153W
1672,YML031W,YNR019W
1673,YML031W,YNR039C
1674,YML048W,YMR153W
1675,YML048W,YPR159W
1676,YML051W,YML112W
1677,YML051W,YMR153W
1678,YML051W,YNL086W
1679,YML051W,YNL309W
1680,YML051W,YOR232W
1681,YML051W,YPL173W
1682,YML054CA,YPL070W
1683,YML055W,YMR153W
1684,YML055W,YNL125C
1685,YML063W,YML064C
1686,YML063W,YPL001W
1687,YML064C,YML094W
1688,YML064C,YMR077C
1689,YML064C,YMR153W
1690,YML064C,YMR232W
1691,YML064C,YNL055C
1692,YML064C,YNL086W
1693,YML064C,YNL334C
1694,YML064C,YOL111C
1695,YML064C,YOL149W
1696,YML064C,YOR060C
1697,YML064C,YPL077C
1698,YML064C,YPL148C
1699,YML064C,YPR045C
1700,YML064C,YPR128C
1701,YML064C,YPR174C
1702,YML088W,YMR090W
1703,YML088W,YNL122C
1704,YML088W,YOL086C
1705,YML088W,YOR008CA
1706,YML088W,YOR015W
1707,YML088W,YOR110W
1708,YML094W,YOR185C
1709,YML097C,YML097C
1710,YML108W,YPL225W
1711,YML121W,YOR368W
1712,YML125C,YMR153W
1713,YML125C,YNR039C
1714,YML130C,YNL315C
1715,YML130C,YPL135W
1716,YMR018W,YMR077C
1717,YMR018W,YMR264W
1718,YMR018W,YNL117W
1719,YMR018W,YNL165W
1720,YMR020W,YMR265C
1721,YMR022W,YMR264W
1722,YMR032W,YOL128C
1723,YMR032W,YOR181W
1724,YMR042W,YMR043W
1725,YMR052W,YNL078W
1726,YMR052W,YNL086W
1727,YMR055C,YMR232W
1728,YMR055C,YOR158W
1729,YMR055C,YPL173W
1730,YMR068W,YMR094W
1731,YMR068W,YNL189W
1732,YMR077C,YMR239C
1733,YMR077C,YNL189W
1734,YMR077C,YOR275C
1735,YMR077C,YPL002C
1736,YMR077C,YPL065W
1737,YMR091C,YNL189W
1738,YMR094W,YMR168C
1739,YMR096W,YNL334C
1740,YMR100W,YNL094W
1741,YMR135C,YPL070W
1742,YMR146C,YPL105C
1743,YMR150C,YMR276W
1744,YMR153W,YMR153W
1745,YMR153W,YNL111C
1746,YMR153W,YNL219C
1747,YMR153W,YNL223W
1748,YMR153W,YNL234W
1749,YMR153W,YNL280C
1750,YMR153W,YPL191C
1751,YMR153W,YPR159CA
1752,YMR153W,YPR174C
1753,YMR158W,YOR223W
1754,YMR168C,YOL036W
1755,YMR168C,YOR279C
1756,YMR168C,YPL173W
1757,YMR213W,YNL189W
1758,YMR213W,YOL054W
1759,YMR213W,YOR158W
1760,YMR213W,YPL151C
1761,YMR213W,YPL173W
1762,YMR214W,YNL086W
1763,YMR214W,YOL132W
1764,YMR232W,YNL189W
1765,YMR239C,YNL334C
1766,YMR239C,YOL149W
1767,YMR239C,YPL077C
1768,YMR240C,YOR319W
1769,YMR244CA,YPL222W
1770,YMR256C,YPL112C
1771,YMR265C,YPR072W
1772,YMR267W,YMR267W
1773,YMR270C,YOR158W
1774,YMR276W,YMR276W
1775,YMR276W,YNL328C
1776,YMR276W,YPL096W
1777,YMR298W,YNL173C
1778,YMR298W,YPR159W
1779,YMR312W,YPL101W
1780,YMR315WA,YNL232W
1781,YNL036W,YOR157C
1782,YNL037C,YOR136W
1783,YNL044W,YOR097C
1784,YNL044W,YPL199C
1785,YNL051W,YPL059W
1786,YNL053W,YPL135W
1787,YNL055C,YPR103W
1788,YNL055C,YPR107C
1789,YNL073W,YOR368W
1790,YNL075W,YNL147W
1791,YNL075W,YPL018W
1792,YNL084C,YNL086W
1793,YNL086W,YNL086W
1794,YNL086W,YNL107W
1795,YNL086W,YNL189W
1796,YNL086W,YOL069W
1797,YNL086W,YPL065W
1798,YNL086W,YPL070W
1799,YNL086W,YPR083W
1800,YNL086W,YPR105C
1801,YNL093W,YNL100W
1802,YNL100W,YNL131W
1803,YNL100W,YOL147C
1804,YNL100W,YPL099C
1805,YNL100W,YPL112C
1806,YNL100W,YPR128C
1807,YNL111C,YNR039C
1808,YNL111C,YPR159W
1809,YNL116W,YNL165W
1810,YNL125C,YNL146W
1811,YNL125C,YNL234W
1812,YNL125C,YOL073C
1813,YNL125C,YPL096CA
1814,YNL125C,YPL192C
1815,YNL125C,YPL218W
1816,YNL125C,YPR170WB
1817,YNL130C,YPR159W
1818,YNL136W,YPR023C
1819,YNL146W,YNR039C
1820,YNL147W,YOR159C
1821,YNL147W,YOR167C
1822,YNL147W,YPR178W
1823,YNL147W,YPR182W
1824,YNL153C,YOR158W
1825,YNL153C,YPL173W
1826,YNL153C,YPL188W
1827,YNL156C,YOL044W
1828,YNL189W,YOL111C
1829,YNL189W,YOR018W
1830,YNL189W,YOR023C
1831,YNL189W,YOR279C
1832,YNL189W,YOR388C
1833,YNL189W,YPL059W
1834,YNL189W,YPL148C
1835,YNL189W,YPL157W
1836,YNL189W,YPL173W
1837,YNL189W,YPL188W
1838,YNL193W,YPL180W
1839,YNL193W,YPR015C
1840,YNL200C,YNL200C
1841,YNL204C,YOR223W
1842,YNL214W,YPL112C
1843,YNL230C,YPL046C
1844,YNL264C,YPL272C
1845,YNL268W,YPR159W
1846,YNL280C,YPR159W
1847,YNL287W,YPL010W
1848,YNL290W,YOL094C
1849,YNL333W,YNL334C
1850,YNR004W,YPL157W
1851,YNR010W,YOL139C
1852,YNR039C,YOR067C
1853,YNR039C,YPL096CA
1854,YNR039C,YPL191C
1855,YNR039C,YPL218W
1856,YNR039C,YPR170WB
1857,YNR039C,YPR174C
1858,YNR046W,YOL124C
1859,YOL002C,YPR159W
1860,YOL044W,YPL192C
1861,YOL044W,YPL218W
1862,YOL054W,YPL093W
1863,YOL085C,YPL070W
1864,YOL111C,YOL111C
1865,YOL128C,YPR175W
1866,YOL139C,YOR276W
1867,YOR015W,YPR170WB
1868,YOR034C,YOR171C
1869,YOR039W,YOR061W
1870,YOR066W,YPR120C
1871,YOR069W,YOR132W
1872,YOR075W,YPL070W
1873,YOR117W,YOR259C
1874,YOR123C,YPL173W
1875,YOR158W,YOR368W
1876,YOR158W,YPL077C
1877,YOR158W,YPL166W
1878,YOR159C,YOR368W
1879,YOR176W,YPL018W
1880,YOR226C,YPR072W
1881,YOR269W,YPR040W
1882,YOR279C,YPR017C
1883,YOR368W,YPL002C
1884,YOR368W,YPL146C
1885,YOR368W,YPL148C
1886,YOR368W,YPL194W
1887,YOR368W,YPL268W
1888,YPL002C,YPL065W
1889,YPL031C,YPL219W
1890,YPL032C,YPL032C
1891,YPL068C,YPL128C
1892,YPL077C,YPL166W
1893,YPL077C,YPR083W
1894,YPL107W,YPL222W
1895,YPL112C,YPR128C
1896,YPL129W,YPL188W
1897,YPL151C,YPR083W
1898,YPL157W,YPL157W
1899,YPL192C,YPR159W
1900,YPL218W,YPR174C
1901,YPL264C,YPR159W
1902,YPR006C,YPR006C
1903,YPR018W,YPR018W
1904,YPR083W,YPR083W
1905,YPR113W,YPR159W
1906,YPR128C,YPR128C
1907,YPR159W,YPR174C
1908,YPR170WB,YPR174C
1909,YPR174C,YPR174C
